event_id,audio_path,label,split,source_index,source_filename,sha256,provenance,beans_max_duration_s,duration_protocol,condition
test_6,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_6.wav,Mac,test,6,Mac-2-P-2f.wav,333f5f3caa43a64c2c717f2f877eaf28150c36130446bbb571ae8ee75dd3df77,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_6,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_6.wav,Mac,test,6,Mac-2-P-2f.wav,333f5f3caa43a64c2c717f2f877eaf28150c36130446bbb571ae8ee75dd3df77,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_16,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_16.wav,Mac,test,16,Mac-8-A-8.wav,1bd655b98a146267b00200375897eba4ac6f8ccda80019c1af0ffc386abca54a,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_16,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_16.wav,Mac,test,16,Mac-8-A-8.wav,1bd655b98a146267b00200375897eba4ac6f8ccda80019c1af0ffc386abca54a,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_18,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_18.wav,Mac,test,18,Mac-7-P-7b.wav,e7b80e77834a4194c91f7951eb73455b845fb3315bfa6bfc28e13387adbb1610,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_18,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_18.wav,Mac,test,18,Mac-7-P-7b.wav,e7b80e77834a4194c91f7951eb73455b845fb3315bfa6bfc28e13387adbb1610,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_19,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_19.wav,Mac,test,19,Mac-7-C-5a.wav,92301afb82c1bec0521a16a447f18c208f282603fa1b8d798c4a2f186263c724,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_19,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_19.wav,Mac,test,19,Mac-7-C-5a.wav,92301afb82c1bec0521a16a447f18c208f282603fa1b8d798c4a2f186263c724,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_20,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_20.wav,Mac,test,20,Mac-7-C-5b.wav,27c0fbecd20550b6d3e07166ff2d0d19b74068ee2b11298d467f7187c1db445d,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_20,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_20.wav,Mac,test,20,Mac-7-C-5b.wav,27c0fbecd20550b6d3e07166ff2d0d19b74068ee2b11298d467f7187c1db445d,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_32,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_32.wav,Mac,test,32,Mac-9-C-7f.wav,dc8e31d0378feb6d9ef7439a96edd724db20383be72419887ea460395966e2ef,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_32,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_32.wav,Mac,test,32,Mac-9-C-7f.wav,dc8e31d0378feb6d9ef7439a96edd724db20383be72419887ea460395966e2ef,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_33,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_33.wav,Mac,test,33,Mac-9-C-7e.wav,df921b55efc7f07b1a17a584b4bc58155c856930be8a051c8df5f7fffe349a61,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_33,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_33.wav,Mac,test,33,Mac-9-C-7e.wav,df921b55efc7f07b1a17a584b4bc58155c856930be8a051c8df5f7fffe349a61,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_40,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_40.wav,Mac,test,40,Mac-5-A-5.wav,3663026fadbeb642da172a3ec9fae141df86567f956b6ef4e9e05a1f87ab8fd4,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_40,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_40.wav,Mac,test,40,Mac-5-A-5.wav,3663026fadbeb642da172a3ec9fae141df86567f956b6ef4e9e05a1f87ab8fd4,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_53,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_53.wav,Mac,test,53,Mac-11-C-9a.wav,04464efcd15d5933b3cf6ebfdfe147ba6cacedf363399cb6b986833ad5853862,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_53,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_53.wav,Mac,test,53,Mac-11-C-9a.wav,04464efcd15d5933b3cf6ebfdfe147ba6cacedf363399cb6b986833ad5853862,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_58,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_58.wav,Mac,test,58,Mac-1-C-1d.wav,b2f0f4edab95d9528b74b08aa6527012f320cc4f42da96c78ae85e94d5017cd7,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_58,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_58.wav,Mac,test,58,Mac-1-C-1d.wav,b2f0f4edab95d9528b74b08aa6527012f320cc4f42da96c78ae85e94d5017cd7,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_60,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_60.wav,Mac,test,60,Mac-1-C-1b.wav,50cb8733b34c2574af498b3b59d1e1ed2c330086b77617f12e04c424d1ebcae9,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_60,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_60.wav,Mac,test,60,Mac-1-C-1b.wav,50cb8733b34c2574af498b3b59d1e1ed2c330086b77617f12e04c424d1ebcae9,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_62,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_62.wav,Mac,test,62,Mac-1-C-1i.wav,fb54c9fa815c18597a98bbe9db2857ef295935867a80e929e7c93d86a82b4a37,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_62,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_62.wav,Mac,test,62,Mac-1-C-1i.wav,fb54c9fa815c18597a98bbe9db2857ef295935867a80e929e7c93d86a82b4a37,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_66,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_66.wav,Mac,test,66,Mac-1-C-1g.wav,5da596cef7488d068053d06d5418dba496a9cd2bf5077a715660f8f827d92375,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_66,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_66.wav,Mac,test,66,Mac-1-C-1g.wav,5da596cef7488d068053d06d5418dba496a9cd2bf5077a715660f8f827d92375,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_67,/root/animal-omni-kv/data/beans/interventions/dogs_all/full_0-8k/test_67.wav,Mac,test,67,Mac-1-P-1a.wav,b586a10383cb107330f5a9c918df4f12fcb910b79b2731b727eee1d4fab44d68,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_67,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/test_67.wav,Mac,test,67,Mac-1-P-1a.wav,b586a10383cb107330f5a9c918df4f12fcb910b79b2731b727eee1d4fab44d68,hf:beans_dogs/test-00000-of-00001.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
