event_id,audio_path,label,split,source_index,source_filename,sha256,provenance,beans_max_duration_s,duration_protocol,condition,source_split,equal_support_k_per_class,equal_support_role
train_486,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_486.wav,Farley,train,486,Farley-8-C-6a.wav,0b21a6dbd1f368ecfccb1e92dc173aafe3184a90fc12d763468ff16ce6e84d5e,hf:beans_dogs/train-00001-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_453,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_453.wav,Farley,train,453,Farley-7-C-5d.wav,b7f7abfb75233df5019d74c366fa847b3fe3b89f84096e84f38ab2e9acf2ff34,hf:beans_dogs/train-00001-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_553,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_553.wav,Freid,train,553,Fried-5-P-5e.wav,133b0e1285712cbe58d9bcbaef425342b30a4f4d5acbd0402e51a604f5cf79c5,hf:beans_dogs/train-00001-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_541,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_541.wav,Freid,train,541,Freid-2-P-2b.wav,c5baf1919bd7da503a0babba18c6c3100ceeaca6320ea43f9040b6689a4c52a5,hf:beans_dogs/train-00001-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_522,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_522.wav,Keri,train,522,Keri-6-P-6a.wav,fe99e27803610c2631ee9e98318a1f3bbc7dfae86f8d0c58d3b33c6b0b38a743,hf:beans_dogs/train-00001-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_519,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_519.wav,Keri,train,519,Keri-A-2a.wav,79d82309dc26004d7f7eb718e4c20fcbcbc5829f6672216f5295dc96ad5d1053,hf:beans_dogs/train-00001-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_185,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_185.wav,Louie,train,185,Louie-1-C-1b.wav,e721a82ce04b4ba5a3e0dca987570d85013eee60e55da7e52ddf479a7c092f64,hf:beans_dogs/train-00000-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_204,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_204.wav,Louie,train,204,Louis-2-C-2e.wav,a03fb3607d593baa40d481a968e18a3f0647f2c310e94a10c238451aac6293a0,hf:beans_dogs/train-00000-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_656,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_656.wav,Luke,train,656,Luke-C-1d.wav,d0e7cc7f0cf89a9ec614c4a676edef251a8d25dc67337105331f16033c4c3d69,hf:beans_dogs/train-00001-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_649,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_649.wav,Luke,train,649,Luke-C-1g.wav,08fff57e2bc413f5831c3f474bfd6f90c8b0bf0f335f259a0b588736603dedc8,hf:beans_dogs/train-00001-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_22,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_22.wav,Mac,train,22,Mac-7-P-7a.wav,0dcd5af5741442c9c2362c7c18564b866407504dae7cf1ab946ef8c69cbc6da0,hf:beans_dogs/train-00000-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_28,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_28.wav,Mac,train,28,Mac-9-C-7g.wav,0dfce35f5bbfd65bdc3b9d69414fdbaac1b75ccf3359feb18380d7d65c696ebc,hf:beans_dogs/train-00000-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_403,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_403.wav,Roodie,train,403,Roodie-6-C-6f.wav,a08d91ca897c0153dacb53b26762b695c2476ce7186ee908add2d5ef436f2f3a,hf:beans_dogs/train-00001-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_364,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_364.wav,Roodie,train,364,Roodie-2-P-2d.wav,6464fa241026523ba85dbf3e264e682a61b52e5b66352f87c2aca30d7c8a9227,hf:beans_dogs/train-00001-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
train_86,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_86.wav,Rudy,train,86,Rudy-4-P-4b.wav,4583d38ad74b10034aeefb0e83ee99de1bd36bc3507b709ee53875ea592ff16f,hf:beans_dogs/train-00000-of-00002.parquet,10.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000,train,2,labeled_support
