event_id,audio_path,label,recording_id,condition,source_audio_path,source_condition,sample_rate,frames,channels
train_486,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/train_486.wav,Farley,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_486.wav,lp_0-1000,16000,160000,1
train_553,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/train_553.wav,Freid,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_553.wav,lp_0-1000,16000,160000,1
train_522,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/train_522.wav,Keri,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_522.wav,lp_0-1000,16000,160000,1
train_185,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/train_185.wav,Louie,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_185.wav,lp_0-1000,16000,160000,1
train_656,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/train_656.wav,Luke,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_656.wav,lp_0-1000,16000,160000,1
train_22,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/train_22.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_22.wav,lp_0-1000,16000,160000,1
train_403,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/train_403.wav,Roodie,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_403.wav,lp_0-1000,16000,160000,1
train_86,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/train_86.wav,Rudy,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_86.wav,lp_0-1000,16000,160000,1
train_146,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/train_146.wav,Siggy,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_146.wav,lp_0-1000,16000,160000,1
train_281,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/train_281.wav,Zoe,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/train_281.wav,lp_0-1000,16000,160000,1
valid_4,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_4.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_4.wav,lp_0-1000,16000,160000,1
valid_7,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_7.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_7.wav,lp_0-1000,16000,160000,1
valid_13,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_13.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_13.wav,lp_0-1000,16000,160000,1
valid_21,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_21.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_21.wav,lp_0-1000,16000,160000,1
valid_26,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_26.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_26.wav,lp_0-1000,16000,160000,1
valid_27,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_27.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_27.wav,lp_0-1000,16000,160000,1
valid_29,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_29.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_29.wav,lp_0-1000,16000,160000,1
valid_37,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_37.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_37.wav,lp_0-1000,16000,160000,1
valid_46,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_46.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_46.wav,lp_0-1000,16000,160000,1
valid_47,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_47.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_47.wav,lp_0-1000,16000,160000,1
valid_50,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_50.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_50.wav,lp_0-1000,16000,160000,1
valid_57,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_57.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_57.wav,lp_0-1000,16000,160000,1
valid_70,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_70.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_70.wav,lp_0-1000,16000,160000,1
valid_71,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_71.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_71.wav,lp_0-1000,16000,160000,1
valid_75,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_75.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_75.wav,lp_0-1000,16000,160000,1
valid_77,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_77.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_77.wav,lp_0-1000,16000,160000,1
valid_79,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_79.wav,Mac,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_79.wav,lp_0-1000,16000,160000,1
valid_89,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_89.wav,Rudy,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_89.wav,lp_0-1000,16000,160000,1
valid_96,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_96.wav,Rudy,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_96.wav,lp_0-1000,16000,160000,1
valid_98,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_98.wav,Rudy,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_98.wav,lp_0-1000,16000,160000,1
valid_102,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_102.wav,Rudy,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_102.wav,lp_0-1000,16000,160000,1
valid_119,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_119.wav,Siggy,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_119.wav,lp_0-1000,16000,160000,1
valid_125,/root/animal-omni-kv/data/beans/dogs_lp1_matched_silence/valid_125.wav,Siggy,,matched_silence,/root/animal-omni-kv/data/beans/interventions/dogs_all/lp_0-1000/valid_125.wav,lp_0-1000,16000,160000,1
