event_id,audio_path,label,recording_id,provenance,annotation_tsv_label,example_annotation_agree
175492,/root/animal-omni-kv/data/marmaudio/examples/Infant_cry_175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true
223326,/root/animal-omni-kv/data/marmaudio/examples/Infant_cry_223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true
349714,/root/animal-omni-kv/data/marmaudio/examples/Infant_cry_349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true
363507,/root/animal-omni-kv/data/marmaudio/examples/Infant_cry_363507.wav,Infant Cry,2022_3_13,official_audio_example,Twitter,false
509092,/root/animal-omni-kv/data/marmaudio/examples/Infant_cry_509092.wav,Infant Cry,2022_12_3,official_audio_example,Vocalization,false
526561,/root/animal-omni-kv/data/marmaudio/examples/Infant_cry_526561.wav,Infant Cry,2021_1_0,official_audio_example,Vocalization,false
574304,/root/animal-omni-kv/data/marmaudio/examples/Infant_cry_574304.wav,Infant Cry,2020_10_1,official_audio_example,Vocalization,false
583037,/root/animal-omni-kv/data/marmaudio/examples/Infant_cry_583037.wav,Infant Cry,2020_10_1,official_audio_example,Vocalization,false
764613,/root/animal-omni-kv/data/marmaudio/examples/Infant_cry_764613.wav,Infant Cry,2023_3_5,official_audio_example,Vocalization,false
775365,/root/animal-omni-kv/data/marmaudio/examples/Infant_cry_775365.wav,Infant Cry,2023_3_6,official_audio_example,Twitter,false
223119,/root/animal-omni-kv/data/marmaudio/examples/Phee_223119.wav,Phee,2019_12_0,official_audio_example,Phee,true
223202,/root/animal-omni-kv/data/marmaudio/examples/Phee_223202.wav,Phee,2019_12_0,official_audio_example,Phee,true
456154,/root/animal-omni-kv/data/marmaudio/examples/Phee_456154.wav,Phee,2022_4_4,official_audio_example,Vocalization,false
486602,/root/animal-omni-kv/data/marmaudio/examples/Phee_486602.wav,Phee,2023_4_0,official_audio_example,Phee,true
506529,/root/animal-omni-kv/data/marmaudio/examples/Phee_506529.wav,Phee,2022_12_3,official_audio_example,Phee,true
556679,/root/animal-omni-kv/data/marmaudio/examples/Phee_556679.wav,Phee,2020_10_0,official_audio_example,Tsik,false
