event_id,target,target_output,prompt_name,query_split,condition,support_k_per_class,support_k_total,router,routed_label,router_correct,method,relative_alpha,factorized_rank,feature_layer,applied_ratio_mean,applied_ratio_min,applied_ratio_max,prediction,raw_prediction,correct,prediction_matches_routed_label
valid_4,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Freid,false,native,0.0,,28,0.0,0.0,0.0,B,B,false,true
valid_7,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Freid,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_13,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_21,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Freid,false,native,0.0,,28,0.0,0.0,0.0,B,B,false,true
valid_26,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,true
valid_27,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Mac,true,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_29,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Mac,true,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_37,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Mac,true,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_46,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_47,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_50,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_57,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_70,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_71,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Louie,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_75,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Louie,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_77,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_79,Mac,F,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,false,native,0.0,,28,0.0,0.0,0.0,B,B,false,false
valid_89,Rudy,H,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Keri,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_96,Rudy,H,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,true
valid_98,Rudy,H,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,true,native,0.0,,28,0.0,0.0,0.0,B,B,false,false
valid_102,Rudy,H,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_119,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_125,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_128,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,true
valid_142,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,true
valid_154,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,true
valid_157,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,true,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_161,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_163,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,true,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_166,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_168,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_171,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,true,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_174,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,true,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_175,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Keri,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_177,Siggy,I,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_192,Louie,D,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Louie,true,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_194,Louie,D,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Louie,true,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_197,Louie,D,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Louie,true,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_200,Louie,D,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Louie,true,native,0.0,,28,0.0,0.0,0.0,B,B,false,false
valid_205,Louie,D,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Louie,true,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_206,Louie,D,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_214,Zoe,J,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Freid,false,native,0.0,,28,0.0,0.0,0.0,J,J,true,false
valid_215,Zoe,J,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Freid,false,native,0.0,,28,0.0,0.0,0.0,J,J,true,false
valid_218,Zoe,J,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Freid,false,native,0.0,,28,0.0,0.0,0.0,J,J,true,false
valid_223,Zoe,J,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Zoe,true,native,0.0,,28,0.0,0.0,0.0,A,A,false,false
valid_227,Zoe,J,paraphrase,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Zoe,true,native,0.0,,28,0.0,0.0,0.0,J,J,true,true
