event_id,target,target_output,prompt_name,query_split,condition,support_k_per_class,support_k_total,router,routed_label,router_correct,method,relative_alpha,factorized_rank,feature_layer,applied_ratio_mean,applied_ratio_min,applied_ratio_max,prediction,raw_prediction,correct,prediction_matches_routed_label
valid_4,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Freid,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_7,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Freid,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_13,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_21,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Freid,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_26,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_27,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Mac,true,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_29,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Mac,true,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_37,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Mac,true,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_46,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_47,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_50,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
valid_57,Mac,F,reverse_order,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,native,0.0,,28,0.0,0.0,0.0,J,J,false,false
