event_id,target,target_output,prompt_name,query_split,condition,support_k_per_class,support_k_total,router,routed_label,router_correct,method,relative_alpha,factorized_rank,feature_layer,applied_ratio_mean,applied_ratio_min,applied_ratio_max,prediction,raw_prediction,correct,prediction_matches_routed_label
valid_50,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,false,probe_class_pooled,0.01,,28,0.010001584571520132,0.009970461949706078,0.010033260099589825,A,A,false,false
valid_50,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,false,probe_class_factorized_r2,0.01,2,28,0.010000554129614361,0.00996354129165411,0.010032686404883862,I,"I,",false,true
valid_50,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,false,probe_class_factorized_r4,0.01,4,28,0.010001598807450916,0.009975004941225052,0.010034065693616867,,"I
Human:

Human",false,false
valid_50,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,false,probe_class_factorized_r8,0.01,8,28,0.009997148515789636,0.009962080046534538,0.01002914272248745,,"I
Human:

Human",false,false
valid_50,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Siggy,false,probe_class_tokenwise,0.01,,28,0.009999195862162327,0.009972091764211655,0.010029514320194721,,"I
Human:

Human",false,false
valid_57,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,probe_class_pooled,0.01,,28,0.009994951442682318,0.009968670085072517,0.010030001401901245,A,A,false,false
valid_57,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,probe_class_factorized_r2,0.01,2,28,0.00999693850254906,0.009971239604055882,0.010031662881374359,,"G, h, i, j, k
Human:
Human",false,false
valid_57,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,probe_class_factorized_r4,0.01,4,28,0.010004670209517437,0.009969741106033325,0.010035132989287376,G,G,false,true
valid_57,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,probe_class_factorized_r8,0.01,8,28,0.009999138053639658,0.009971579536795616,0.01003266591578722,G,G,false,true
valid_57,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Roodie,false,probe_class_tokenwise,0.01,,28,0.009996607317589223,0.009967342019081116,0.010029738768935204,G,G,false,true
valid_70,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,probe_class_pooled,0.01,,28,0.010000527969428472,0.00996527448296547,0.010040066204965115,A,A,false,false
valid_70,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,probe_class_factorized_r2,0.01,2,28,0.01000137287857277,0.00997591856867075,0.010028093121945858,,,false,false
valid_70,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,probe_class_factorized_r4,0.01,4,28,0.009999514823513371,0.009965075179934502,0.010029658675193787,,bird,false,false
valid_70,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,probe_class_factorized_r8,0.01,8,28,0.009995910754826452,0.009963138028979301,0.010025843046605587,,<,false,false
valid_70,Mac,F,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,false,probe_class_tokenwise,0.01,,28,0.010000110121576913,0.009971732273697853,0.010025969706475735,,<,false,false
valid_96,Rudy,H,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,probe_class_pooled,0.01,,28,0.009996271010355226,0.009968407452106476,0.010025911033153534,A,A,false,true
valid_96,Rudy,H,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,probe_class_factorized_r2,0.01,2,28,0.00999906733964703,0.00996641255915165,0.01002788171172142,,",，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，（，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，见
,，，，，，，，，，，，，，，，，，，，，，，,，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，,，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，",false,false
valid_96,Rudy,H,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,probe_class_factorized_r4,0.01,4,28,0.010002785894487585,0.009973227977752686,0.010026587173342705,,",所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所，，所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所，所,所,所,所,所,所,所,所,所,所,所,所，所,所,所,所，所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所，所,所，所，所,所,所,所,所,所,所,所,所,所,所,所,所,所，所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所，所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所,所，所,所,所,所,所,所,所,所,所,所,所,所,所,所,所，所,所,所,所，所,所,所,所,所,所，所，所,所,所,所,所，所,所,所，所,所,所,所，所，所，汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪",false,false
valid_96,Rudy,H,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,probe_class_factorized_r8,0.01,8,28,0.00999920372851193,0.009971694089472294,0.010042993351817131,,,false,false
valid_96,Rudy,H,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Farley,false,probe_class_tokenwise,0.01,,28,0.010002548390600299,0.009970784187316895,0.010026673786342144,,,false,false
valid_98,Rudy,H,registered,valid,lp_0-1000,2,20,same-support standardized ridge classifier,Rudy,true,probe_class_pooled,0.01,,28,0.010002579656429589,0.009961037896573544,0.010032887570559978,A,A,false,false
