event_id,target,support_k,method,eta,rank,prediction,raw_prediction,correct
test_6,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_6,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_6,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_6,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_6,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_6,Mac,10,conditional,3000.0,4,Farley,Farley,false
test_6,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_6,Mac,20,conditional,3000.0,4,Farley,Farley,false
test_16,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_16,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_16,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_16,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_16,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_16,Mac,10,conditional,3000.0,4,Farley,Farley,false
test_16,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_16,Mac,20,conditional,3000.0,4,Farley,Farley,false
test_18,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_18,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_18,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_18,Mac,5,conditional,3000.0,4,Mac,Mac,true
test_18,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_18,Mac,10,conditional,3000.0,4,Roodie,Roodie,false
test_18,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_18,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_19,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_19,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_19,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_19,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_19,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_19,Mac,10,conditional,3000.0,4,Farley,Farley,false
test_19,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_19,Mac,20,conditional,3000.0,4,Farley,Farley,false
test_20,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_20,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_20,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_20,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_20,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_20,Mac,10,conditional,3000.0,4,Farley,Farley,false
test_20,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_20,Mac,20,conditional,3000.0,4,Farley,Farley,false
test_32,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_32,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_32,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_32,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_32,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_32,Mac,10,conditional,3000.0,4,Rudy,Rudy,false
test_32,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_32,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_33,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_33,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_33,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_33,Mac,5,conditional,3000.0,4,Roodie,Roodie,false
test_33,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_33,Mac,10,conditional,3000.0,4,Farley,Farley,false
test_33,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_33,Mac,20,conditional,3000.0,4,Farley,Farley,false
test_40,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_40,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_40,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_40,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_40,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_40,Mac,10,conditional,3000.0,4,Farley,Farley,false
test_40,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_40,Mac,20,conditional,3000.0,4,Farley,Farley,false
test_53,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_53,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_53,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_53,Mac,5,conditional,3000.0,4,Roodie,Roodie,false
test_53,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_53,Mac,10,conditional,3000.0,4,Rudy,Rudy,false
test_53,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_53,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_58,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_58,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_58,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_58,Mac,5,conditional,3000.0,4,Roodie,Roodie,false
test_58,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_58,Mac,10,conditional,3000.0,4,Rudy,Rudy,false
test_58,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_58,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_60,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_60,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_60,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_60,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_60,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_60,Mac,10,conditional,3000.0,4,Farley,Farley,false
test_60,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_60,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_62,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_62,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_62,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_62,Mac,5,conditional,3000.0,4,Roodie,Roodie,false
test_62,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_62,Mac,10,conditional,3000.0,4,Roodie,Roodie,false
test_62,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_62,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_66,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_66,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_66,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_66,Mac,5,conditional,3000.0,4,Roodie,Roodie,false
test_66,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_66,Mac,10,conditional,3000.0,4,Rudy,Rudy,false
test_66,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_66,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_67,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_67,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_67,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_67,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_67,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_67,Mac,10,conditional,3000.0,4,Rudy,Rudy,false
test_67,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_67,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_78,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_78,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_78,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_78,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_78,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_78,Mac,10,conditional,3000.0,4,Rudy,Rudy,false
test_78,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_78,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_80,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_80,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_80,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_80,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_80,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_80,Mac,10,conditional,3000.0,4,Rudy,Rudy,false
test_80,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_80,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_81,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_81,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_81,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_81,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_81,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_81,Mac,10,conditional,3000.0,4,Rudy,Rudy,false
test_81,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_81,Mac,20,conditional,3000.0,4,Rudy,Rudy,false
test_82,Mac,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_82,Mac,1,conditional,3000.0,0,Rudy,Rudy,false
test_82,Mac,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_82,Mac,5,conditional,3000.0,4,Rudy,Rudy,false
test_82,Mac,10,fixed_mean,3000.0,4,Rudy,Rudy,false
test_82,Mac,10,conditional,3000.0,4,Farley,Farley,false
test_82,Mac,20,fixed_mean,3000.0,4,Rudy,Rudy,false
test_82,Mac,20,conditional,3000.0,4,Farley,Farley,false
test_92,Rudy,1,fixed_mean,3000.0,0,Rudy,Rudy,true
test_92,Rudy,1,conditional,3000.0,0,Rudy,Rudy,true
test_92,Rudy,5,fixed_mean,3000.0,4,Rudy,Rudy,true
test_92,Rudy,5,conditional,3000.0,4,Rudy,Rudy,true
test_92,Rudy,10,fixed_mean,3000.0,4,Rudy,Rudy,true
test_92,Rudy,10,conditional,3000.0,4,,bark,false
test_92,Rudy,20,fixed_mean,3000.0,4,Rudy,Rudy,true
test_92,Rudy,20,conditional,3000.0,4,Farley,Farley,false
test_93,Rudy,1,fixed_mean,3000.0,0,Rudy,Rudy,true
test_93,Rudy,1,conditional,3000.0,0,Rudy,Rudy,true
test_93,Rudy,5,fixed_mean,3000.0,4,Rudy,Rudy,true
test_93,Rudy,5,conditional,3000.0,4,Rudy,Rudy,true
test_93,Rudy,10,fixed_mean,3000.0,4,Rudy,Rudy,true
test_93,Rudy,10,conditional,3000.0,4,Rudy,Rudy,true
test_93,Rudy,20,fixed_mean,3000.0,4,Rudy,Rudy,true
test_93,Rudy,20,conditional,3000.0,4,Rudy,Rudy,true
test_94,Rudy,1,fixed_mean,3000.0,0,Rudy,Rudy,true
test_94,Rudy,1,conditional,3000.0,0,Rudy,Rudy,true
test_94,Rudy,5,fixed_mean,3000.0,4,Rudy,Rudy,true
test_94,Rudy,5,conditional,3000.0,4,Rudy,Rudy,true
test_94,Rudy,10,fixed_mean,3000.0,4,Rudy,Rudy,true
test_94,Rudy,10,conditional,3000.0,4,Rudy,Rudy,true
test_94,Rudy,20,fixed_mean,3000.0,4,Rudy,Rudy,true
test_94,Rudy,20,conditional,3000.0,4,Rudy,Rudy,true
test_103,Rudy,1,fixed_mean,3000.0,0,Rudy,Rudy,true
test_103,Rudy,1,conditional,3000.0,0,Rudy,Rudy,true
test_103,Rudy,5,fixed_mean,3000.0,4,Rudy,Rudy,true
test_103,Rudy,5,conditional,3000.0,4,Rudy,Rudy,true
test_103,Rudy,10,fixed_mean,3000.0,4,Rudy,Rudy,true
test_103,Rudy,10,conditional,3000.0,4,Roodie,Roodie,false
test_103,Rudy,20,fixed_mean,3000.0,4,Rudy,Rudy,true
test_103,Rudy,20,conditional,3000.0,4,Roodie,Roodie,false
test_115,Siggy,1,fixed_mean,3000.0,0,Rudy,Rudy,false
test_115,Siggy,1,conditional,3000.0,0,Rudy,Rudy,false
test_115,Siggy,5,fixed_mean,3000.0,4,Rudy,Rudy,false
test_115,Siggy,5,conditional,3000.0,4,Siggy,Siggy,true
