event_id,target,support_k,method,eta,rank,prediction,raw_prediction,correct
test_6,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_6,Mac,20,conditional,3000.0,8,Farley,Farley,false
test_16,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_16,Mac,20,conditional,3000.0,8,Farley,Farley,false
test_18,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_18,Mac,20,conditional,3000.0,8,Rudy,Rudy,false
test_19,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_19,Mac,20,conditional,3000.0,8,Farley,Farley,false
test_20,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_20,Mac,20,conditional,3000.0,8,Roodie,Roodie,false
test_32,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_32,Mac,20,conditional,3000.0,8,Rudy,Rudy,false
test_33,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_33,Mac,20,conditional,3000.0,8,Farley,Farley,false
test_40,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_40,Mac,20,conditional,3000.0,8,Farley,Farley,false
test_53,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_53,Mac,20,conditional,3000.0,8,Roodie,Roodie,false
test_58,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_58,Mac,20,conditional,3000.0,8,Rudy,Rudy,false
test_60,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_60,Mac,20,conditional,3000.0,8,Rudy,Rudy,false
test_62,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_62,Mac,20,conditional,3000.0,8,Roodie,Roodie,false
test_66,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_66,Mac,20,conditional,3000.0,8,Rudy,Rudy,false
test_67,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_67,Mac,20,conditional,3000.0,8,Rudy,Rudy,false
test_78,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_78,Mac,20,conditional,3000.0,8,Rudy,Rudy,false
test_80,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_80,Mac,20,conditional,3000.0,8,Rudy,Rudy,false
test_81,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_81,Mac,20,conditional,3000.0,8,Rudy,Rudy,false
test_82,Mac,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_82,Mac,20,conditional,3000.0,8,Farley,Farley,false
test_92,Rudy,20,fixed_mean,3000.0,8,Rudy,Rudy,true
test_92,Rudy,20,conditional,3000.0,8,Farley,Farley,false
test_93,Rudy,20,fixed_mean,3000.0,8,Rudy,Rudy,true
test_93,Rudy,20,conditional,3000.0,8,Rudy,Rudy,true
test_94,Rudy,20,fixed_mean,3000.0,8,Rudy,Rudy,true
test_94,Rudy,20,conditional,3000.0,8,Rudy,Rudy,true
test_103,Rudy,20,fixed_mean,3000.0,8,Rudy,Rudy,true
test_103,Rudy,20,conditional,3000.0,8,Farley,Farley,false
test_115,Siggy,20,fixed_mean,3000.0,8,Louie,Louie,false
test_115,Siggy,20,conditional,3000.0,8,Siggy,Siggy,true
test_118,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_118,Siggy,20,conditional,3000.0,8,Siggy,Siggy,true
test_123,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_123,Siggy,20,conditional,3000.0,8,Rudy,Rudy,false
test_126,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_126,Siggy,20,conditional,3000.0,8,Farley,Farley,false
test_129,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_129,Siggy,20,conditional,3000.0,8,Rudy,Rudy,false
test_130,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_130,Siggy,20,conditional,3000.0,8,Rudy,Rudy,false
test_131,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_131,Siggy,20,conditional,3000.0,8,Rudy,Rudy,false
test_136,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_136,Siggy,20,conditional,3000.0,8,Farley,Farley,false
test_141,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_141,Siggy,20,conditional,3000.0,8,Rudy,Rudy,false
test_143,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_143,Siggy,20,conditional,3000.0,8,Rudy,Rudy,false
test_147,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_147,Siggy,20,conditional,3000.0,8,Siggy,Siggy,true
test_155,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_155,Siggy,20,conditional,3000.0,8,Rudy,Rudy,false
test_170,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_170,Siggy,20,conditional,3000.0,8,Rudy,Rudy,false
test_172,Siggy,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_172,Siggy,20,conditional,3000.0,8,Rudy,Rudy,false
test_181,Louie,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_181,Louie,20,conditional,3000.0,8,Louie,Louie,true
test_182,Louie,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_182,Louie,20,conditional,3000.0,8,Rudy,Rudy,false
test_184,Louie,20,fixed_mean,3000.0,8,Louie,Louie,true
test_184,Louie,20,conditional,3000.0,8,Louie,Louie,true
test_188,Louie,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_188,Louie,20,conditional,3000.0,8,Louie,Louie,true
test_190,Louie,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_190,Louie,20,conditional,3000.0,8,Louie,Louie,true
test_209,Louie,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_209,Louie,20,conditional,3000.0,8,Farley,Farley,false
test_210,Louie,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_210,Louie,20,conditional,3000.0,8,Louie,Louie,true
test_213,Zoe,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_213,Zoe,20,conditional,3000.0,8,Farley,Farley,false
test_216,Zoe,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_216,Zoe,20,conditional,3000.0,8,Rudy,Rudy,false
test_220,Zoe,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_220,Zoe,20,conditional,3000.0,8,Rudy,Rudy,false
test_229,Zoe,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_229,Zoe,20,conditional,3000.0,8,Louie,Louie,false
test_230,Zoe,20,fixed_mean,3000.0,8,Rudy,Rudy,false
test_230,Zoe,20,conditional,3000.0,8,Rudy,Rudy,false
test_237,Zoe,20,fixed_mean,3000.0,8,Rudy,Rudy,false
