event_id,target,support_k_per_class,support_k_total,method,feature_layer,prediction,correct
valid_102,Rudy,1,10,nearest_centroid,28,Roodie,false
valid_119,Siggy,1,10,nearest_centroid,28,Siggy,true
valid_125,Siggy,1,10,nearest_centroid,28,Louie,false
valid_128,Siggy,1,10,nearest_centroid,28,Siggy,true
valid_13,Mac,1,10,nearest_centroid,28,Siggy,false
valid_142,Siggy,1,10,nearest_centroid,28,Mac,false
valid_154,Siggy,1,10,nearest_centroid,28,Rudy,false
valid_157,Siggy,1,10,nearest_centroid,28,Rudy,false
valid_161,Siggy,1,10,nearest_centroid,28,Siggy,true
valid_163,Siggy,1,10,nearest_centroid,28,Louie,false
valid_166,Siggy,1,10,nearest_centroid,28,Siggy,true
valid_168,Siggy,1,10,nearest_centroid,28,Rudy,false
valid_171,Siggy,1,10,nearest_centroid,28,Siggy,true
valid_174,Siggy,1,10,nearest_centroid,28,Freid,false
valid_175,Siggy,1,10,nearest_centroid,28,Freid,false
valid_177,Siggy,1,10,nearest_centroid,28,Siggy,true
valid_192,Louie,1,10,nearest_centroid,28,Louie,true
valid_194,Louie,1,10,nearest_centroid,28,Louie,true
valid_197,Louie,1,10,nearest_centroid,28,Siggy,false
valid_200,Louie,1,10,nearest_centroid,28,Siggy,false
valid_205,Louie,1,10,nearest_centroid,28,Louie,true
valid_206,Louie,1,10,nearest_centroid,28,Luke,false
valid_21,Mac,1,10,nearest_centroid,28,Siggy,false
valid_214,Zoe,1,10,nearest_centroid,28,Louie,false
valid_215,Zoe,1,10,nearest_centroid,28,Luke,false
valid_218,Zoe,1,10,nearest_centroid,28,Louie,false
valid_223,Zoe,1,10,nearest_centroid,28,Farley,false
valid_227,Zoe,1,10,nearest_centroid,28,Zoe,true
valid_236,Zoe,1,10,nearest_centroid,28,Siggy,false
valid_239,Zoe,1,10,nearest_centroid,28,Siggy,false
valid_247,Zoe,1,10,nearest_centroid,28,Roodie,false
valid_249,Zoe,1,10,nearest_centroid,28,Siggy,false
valid_254,Zoe,1,10,nearest_centroid,28,Zoe,true
valid_258,Zoe,1,10,nearest_centroid,28,Roodie,false
valid_26,Mac,1,10,nearest_centroid,28,Rudy,false
valid_264,Zoe,1,10,nearest_centroid,28,Zoe,true
valid_267,Zoe,1,10,nearest_centroid,28,Siggy,false
valid_27,Mac,1,10,nearest_centroid,28,Farley,false
valid_276,Zoe,1,10,nearest_centroid,28,Luke,false
valid_279,Zoe,1,10,nearest_centroid,28,Luke,false
valid_29,Mac,1,10,nearest_centroid,28,Freid,false
valid_292,Roodie,1,10,nearest_centroid,28,Zoe,false
valid_293,Roodie,1,10,nearest_centroid,28,Keri,false
valid_297,Roodie,1,10,nearest_centroid,28,Siggy,false
valid_303,Roodie,1,10,nearest_centroid,28,Luke,false
valid_324,Roodie,1,10,nearest_centroid,28,Farley,false
valid_331,Roodie,1,10,nearest_centroid,28,Farley,false
valid_333,Roodie,1,10,nearest_centroid,28,Roodie,true
valid_335,Roodie,1,10,nearest_centroid,28,Keri,false
valid_338,Roodie,1,10,nearest_centroid,28,Roodie,true
valid_339,Roodie,1,10,nearest_centroid,28,Farley,false
valid_341,Roodie,1,10,nearest_centroid,28,Siggy,false
