model_id,event_id,condition,target,raw_prediction,prediction,correct,batch_size
Qwen/Qwen2.5-Omni-7B,test_6,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_6,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_16,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_16,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_18,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_18,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_19,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_19,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_20,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_20,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_32,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_32,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_33,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_33,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_40,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_40,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_53,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_53,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_58,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_58,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_60,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_60,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_62,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_62,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_66,full_0-8k,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_66,lp_0-1000,Mac,Rudy,Rudy,false,1
Qwen/Qwen2.5-Omni-7B,test_67,full_0-8k,Mac,Rudy,Rudy,false,1
