event_id,split,target,raw_prediction,prediction,correct
test_6,test,Mac,Mac,Mac,true
test_16,test,Mac,Mac,Mac,true
test_18,test,Mac,Mac,Mac,true
test_19,test,Mac,Mac,Mac,true
test_20,test,Mac,Mac,Mac,true
test_32,test,Mac,Mac,Mac,true
test_33,test,Mac,Mac,Mac,true
test_40,test,Mac,Mac,Mac,true
test_53,test,Mac,Mac,Mac,true
test_58,test,Mac,Luke,Luke,false
test_60,test,Mac,Mac,Mac,true
test_62,test,Mac,Mac,Mac,true
test_66,test,Mac,Mac,Mac,true
test_67,test,Mac,Mac,Mac,true
test_78,test,Mac,Mac,Mac,true
test_80,test,Mac,Mac,Mac,true
test_81,test,Mac,Mac,Mac,true
test_82,test,Mac,Mac,Mac,true
test_92,test,Rudy,Mac,Mac,false
test_93,test,Rudy,Luke,Luke,false
test_94,test,Rudy,Mac,Mac,false
test_103,test,Rudy,Mac,Mac,false
test_115,test,Siggy,Mac,Mac,false
test_118,test,Siggy,Mac,Mac,false
test_123,test,Siggy,Mac,Mac,false
test_126,test,Siggy,Mac,Mac,false
test_129,test,Siggy,Mac,Mac,false
test_130,test,Siggy,Mac,Mac,false
test_131,test,Siggy,Mac,Mac,false
test_136,test,Siggy,Mac,Mac,false
test_141,test,Siggy,Mac,Mac,false
test_143,test,Siggy,Mac,Mac,false
test_147,test,Siggy,Mac,Mac,false
test_155,test,Siggy,Mac,Mac,false
test_170,test,Siggy,Mac,Mac,false
test_172,test,Siggy,Mac,Mac,false
test_181,test,Louie,Mac,Mac,false
test_182,test,Louie,Mac,Mac,false
test_184,test,Louie,Mac,Mac,false
test_188,test,Louie,Mac,Mac,false
test_190,test,Louie,Mac,Mac,false
test_209,test,Louie,Mac,Mac,false
test_210,test,Louie,Mac,Mac,false
test_213,test,Zoe,Mac,Mac,false
test_216,test,Zoe,Luke,Luke,false
test_220,test,Zoe,Mac,Mac,false
test_229,test,Zoe,Mac,Mac,false
test_230,test,Zoe,Mac,Mac,false
test_237,test,Zoe,Zoe,Zoe,true
test_238,test,Zoe,Mac,Mac,false
test_241,test,Zoe,Zoe,Zoe,true
test_246,test,Zoe,Mac,Mac,false
test_248,test,Zoe,Zoe,Zoe,true
test_255,test,Zoe,Zoe,Zoe,true
test_270,test,Zoe,Mac,Mac,false
test_272,test,Zoe,Zoe,Zoe,true
test_275,test,Zoe,Mac,Mac,false
test_284,test,Zoe,Mac,Mac,false
test_289,test,Roodie,Mac,Mac,false
test_290,test,Roodie,Luke,Luke,false
test_299,test,Roodie,Mac,Mac,false
test_300,test,Roodie,Mac,Mac,false
test_301,test,Roodie,Mac,Mac,false
test_304,test,Roodie,Mac,Mac,false
test_307,test,Roodie,Luke,Luke,false
test_314,test,Roodie,Mac,Mac,false
test_316,test,Roodie,Luke,Luke,false
test_320,test,Roodie,Luke,Luke,false
test_336,test,Roodie,Mac,Mac,false
test_337,test,Roodie,Zoe,Zoe,false
test_342,test,Roodie,Mac,Mac,false
test_344,test,Roodie,Mac,Mac,false
test_349,test,Roodie,Mac,Mac,false
test_350,test,Roodie,Mac,Mac,false
test_354,test,Roodie,Mac,Mac,false
test_370,test,Roodie,Mac,Mac,false
test_378,test,Roodie,Mac,Mac,false
test_381,test,Roodie,Luke,Luke,false
test_387,test,Roodie,Mac,Mac,false
test_392,test,Roodie,Luke,Luke,false
test_401,test,Roodie,Luke,Luke,false
test_410,test,Roodie,Mac,Mac,false
test_417,test,Roodie,Mac,Mac,false
test_419,test,Roodie,Luke,Luke,false
test_420,test,Roodie,Mac,Mac,false
test_427,test,Roodie,Luke,Luke,false
test_428,test,Roodie,Luke,Luke,false
test_431,test,Roodie,Mac,Mac,false
test_444,test,Farley,Mac,Mac,false
test_447,test,Farley,Mac,Mac,false
test_451,test,Farley,Mac,Mac,false
test_455,test,Farley,Mac,Mac,false
test_475,test,Farley,Luke,Luke,false
test_476,test,Farley,Mac,Mac,false
test_477,test,Farley,Mac,Mac,false
test_482,test,Farley,Mac,Mac,false
test_485,test,Farley,Mac,Mac,false
test_488,test,Farley,Luke,Luke,false
test_489,test,Keri,Mac,Mac,false
test_493,test,Keri,Mac,Mac,false
test_497,test,Keri,Mac,Mac,false
test_500,test,Keri,Mac,Mac,false
test_512,test,Keri,Luke,Luke,false
test_516,test,Keri,Luke,Luke,false
test_524,test,Keri,Luke,Luke,false
test_528,test,Keri,Mac,Mac,false
test_532,test,Freid,Luke,Luke,false
test_534,test,Freid,Mac,Mac,false
test_537,test,Freid,Mac,Mac,false
test_542,test,Freid,Mac,Mac,false
test_544,test,Freid,Mac,Mac,false
test_550,test,Freid,Mac,Mac,false
test_558,test,Freid,Mac,Mac,false
test_559,test,Freid,Mac,Mac,false
test_566,test,Freid,Mac,Mac,false
test_570,test,Luke,Luke,Luke,true
test_571,test,Luke,Luke,Luke,true
test_578,test,Luke,Mac,Mac,false
test_581,test,Luke,Mac,Mac,false
test_586,test,Luke,Luke,Luke,true
test_593,test,Luke,Mac,Mac,false
test_596,test,Luke,Mac,Mac,false
test_601,test,Luke,Mac,Mac,false
test_608,test,Luke,Mac,Mac,false
test_622,test,Luke,Luke,Luke,true
test_623,test,Luke,Mac,Mac,false
test_624,test,Luke,Luke,Luke,true
test_625,test,Luke,Mac,Mac,false
test_627,test,Luke,Mac,Mac,false
test_641,test,Luke,Luke,Luke,true
test_650,test,Luke,Luke,Luke,true
test_659,test,Luke,Luke,Luke,true
test_665,test,Luke,Mac,Mac,false
test_667,test,Luke,Luke,Luke,true
test_668,test,Luke,Luke,Luke,true
test_676,test,Luke,Luke,Luke,true
test_680,test,Luke,Luke,Luke,true
test_682,test,Luke,Mac,Mac,false
test_684,test,Luke,Luke,Luke,true
