event_id,target,target_output,support_k_per_class,support_k_total,method,readout,raw_prediction,candidate_scores_json,prediction,correct
valid_4,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_7,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_13,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_21,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_26,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_27,Mac,Mac,1,10,audio_icl_free,free,Louie,,Louie,false
valid_29,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_37,Mac,Mac,1,10,audio_icl_free,free,Louie,,Louie,false
valid_46,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_47,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_50,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_57,Mac,Mac,1,10,audio_icl_free,free,Louie,,Louie,false
valid_70,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_71,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_75,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_77,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_79,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_89,Rudy,Rudy,1,10,audio_icl_free,free,Louie,,Louie,false
valid_96,Rudy,Rudy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_98,Rudy,Rudy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_102,Rudy,Rudy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_119,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_125,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_128,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_142,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_154,Siggy,Siggy,1,10,audio_icl_free,free,Louie,,Louie,false
valid_157,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_161,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_163,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_166,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_168,Siggy,Siggy,1,10,audio_icl_free,free,Louie,,Louie,false
valid_171,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_174,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_175,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_177,Siggy,Siggy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_192,Louie,Louie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_194,Louie,Louie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_197,Louie,Louie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_200,Louie,Louie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_205,Louie,Louie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_206,Louie,Louie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_214,Zoe,Zoe,1,10,audio_icl_free,free,Freid,,Freid,false
valid_215,Zoe,Zoe,1,10,audio_icl_free,free,Freid,,Freid,false
valid_218,Zoe,Zoe,1,10,audio_icl_free,free,Louie,,Louie,false
valid_223,Zoe,Zoe,1,10,audio_icl_free,free,Louie,,Louie,false
valid_227,Zoe,Zoe,1,10,audio_icl_free,free,Louie,,Louie,false
valid_236,Zoe,Zoe,1,10,audio_icl_free,free,Louie,,Louie,false
valid_239,Zoe,Zoe,1,10,audio_icl_free,free,Freid,,Freid,false
valid_247,Zoe,Zoe,1,10,audio_icl_free,free,Freid,,Freid,false
valid_249,Zoe,Zoe,1,10,audio_icl_free,free,Louie,,Louie,false
valid_254,Zoe,Zoe,1,10,audio_icl_free,free,Freid,,Freid,false
valid_258,Zoe,Zoe,1,10,audio_icl_free,free,Freid,,Freid,false
valid_264,Zoe,Zoe,1,10,audio_icl_free,free,Louie,,Louie,false
valid_267,Zoe,Zoe,1,10,audio_icl_free,free,Freid,,Freid,false
valid_276,Zoe,Zoe,1,10,audio_icl_free,free,Freid,,Freid,false
valid_279,Zoe,Zoe,1,10,audio_icl_free,free,Freid,,Freid,false
valid_292,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_293,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_297,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_303,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_324,Roodie,Roodie,1,10,audio_icl_free,free,Louie,,Louie,false
valid_331,Roodie,Roodie,1,10,audio_icl_free,free,Louie,,Louie,false
valid_333,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_335,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_338,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_339,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_341,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_346,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_347,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_352,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_374,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_376,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_380,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_382,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_383,Roodie,Roodie,1,10,audio_icl_free,free,Louie,,Louie,false
valid_385,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_391,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_393,Roodie,Roodie,1,10,audio_icl_free,free,Louie,,Louie,false
valid_397,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_398,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_399,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_404,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_409,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_418,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_422,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_426,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_429,Roodie,Roodie,1,10,audio_icl_free,free,Freid,,Freid,false
valid_438,Farley,Farley,1,10,audio_icl_free,free,Freid,,Freid,false
valid_439,Farley,Farley,1,10,audio_icl_free,free,Farley,,Farley,true
valid_457,Farley,Farley,1,10,audio_icl_free,free,Freid,,Freid,false
valid_458,Farley,Farley,1,10,audio_icl_free,free,Freid,,Freid,false
valid_459,Farley,Farley,1,10,audio_icl_free,free,Freid,,Freid,false
valid_460,Farley,Farley,1,10,audio_icl_free,free,Freid,,Freid,false
valid_465,Farley,Farley,1,10,audio_icl_free,free,Freid,,Freid,false
valid_466,Farley,Farley,1,10,audio_icl_free,free,Freid,,Freid,false
valid_468,Farley,Farley,1,10,audio_icl_free,free,Freid,,Freid,false
valid_472,Farley,Farley,1,10,audio_icl_free,free,Freid,,Freid,false
valid_479,Farley,Farley,1,10,audio_icl_free,free,Freid,,Freid,false
valid_490,Keri,Keri,1,10,audio_icl_free,free,Freid,,Freid,false
valid_495,Keri,Keri,1,10,audio_icl_free,free,Freid,,Freid,false
valid_496,Keri,Keri,1,10,audio_icl_free,free,Freid,,Freid,false
valid_504,Keri,Keri,1,10,audio_icl_free,free,Louie,,Louie,false
valid_505,Keri,Keri,1,10,audio_icl_free,free,Freid,,Freid,false
valid_511,Keri,Keri,1,10,audio_icl_free,free,Freid,,Freid,false
valid_521,Keri,Keri,1,10,audio_icl_free,free,Louie,,Louie,false
valid_523,Keri,Keri,1,10,audio_icl_free,free,Freid,,Freid,false
valid_529,Keri,Keri,1,10,audio_icl_free,free,Freid,,Freid,false
valid_536,Freid,Freid,1,10,audio_icl_free,free,Freid,,Freid,true
valid_538,Freid,Freid,1,10,audio_icl_free,free,Freid,,Freid,true
valid_547,Freid,Freid,1,10,audio_icl_free,free,Freid,,Freid,true
valid_548,Freid,Freid,1,10,audio_icl_free,free,Freid,,Freid,true
valid_552,Freid,Freid,1,10,audio_icl_free,free,Freid,,Freid,true
valid_556,Freid,Freid,1,10,audio_icl_free,free,Freid,,Freid,true
valid_565,Freid,Freid,1,10,audio_icl_free,free,Freid,,Freid,true
valid_567,Freid,Freid,1,10,audio_icl_free,free,Freid,,Freid,true
valid_572,Luke,Luke,1,10,audio_icl_free,free,Freid,,Freid,false
valid_588,Luke,Luke,1,10,audio_icl_free,free,Freid,,Freid,false
valid_606,Luke,Luke,1,10,audio_icl_free,free,Freid,,Freid,false
