event_id,target,support_k_per_class,support_k_total,method,feature_layer,prediction,correct
valid_4,Mac,2,20,nearest_centroid,28,Rudy,false
valid_7,Mac,2,20,nearest_centroid,28,Rudy,false
valid_13,Mac,2,20,nearest_centroid,28,Rudy,false
valid_21,Mac,2,20,nearest_centroid,28,Keri,false
valid_26,Mac,2,20,nearest_centroid,28,Roodie,false
valid_27,Mac,2,20,nearest_centroid,28,Luke,false
valid_29,Mac,2,20,nearest_centroid,28,Siggy,false
valid_37,Mac,2,20,nearest_centroid,28,Mac,true
valid_46,Mac,2,20,nearest_centroid,28,Roodie,false
valid_47,Mac,2,20,nearest_centroid,28,Louie,false
valid_50,Mac,2,20,nearest_centroid,28,Mac,true
valid_57,Mac,2,20,nearest_centroid,28,Roodie,false
valid_70,Mac,2,20,nearest_centroid,28,Rudy,false
valid_71,Mac,2,20,nearest_centroid,28,Louie,false
valid_75,Mac,2,20,nearest_centroid,28,Keri,false
valid_77,Mac,2,20,nearest_centroid,28,Rudy,false
valid_79,Mac,2,20,nearest_centroid,28,Siggy,false
valid_89,Rudy,2,20,nearest_centroid,28,Keri,false
valid_96,Rudy,2,20,nearest_centroid,28,Louie,false
valid_98,Rudy,2,20,nearest_centroid,28,Rudy,true
valid_102,Rudy,2,20,nearest_centroid,28,Roodie,false
valid_119,Siggy,2,20,nearest_centroid,28,Rudy,false
valid_125,Siggy,2,20,nearest_centroid,28,Keri,false
valid_128,Siggy,2,20,nearest_centroid,28,Keri,false
valid_142,Siggy,2,20,nearest_centroid,28,Siggy,true
valid_154,Siggy,2,20,nearest_centroid,28,Roodie,false
valid_157,Siggy,2,20,nearest_centroid,28,Roodie,false
valid_161,Siggy,2,20,nearest_centroid,28,Rudy,false
valid_163,Siggy,2,20,nearest_centroid,28,Louie,false
valid_166,Siggy,2,20,nearest_centroid,28,Louie,false
valid_168,Siggy,2,20,nearest_centroid,28,Roodie,false
valid_171,Siggy,2,20,nearest_centroid,28,Siggy,true
valid_174,Siggy,2,20,nearest_centroid,28,Siggy,true
valid_175,Siggy,2,20,nearest_centroid,28,Siggy,true
valid_177,Siggy,2,20,nearest_centroid,28,Rudy,false
valid_192,Louie,2,20,nearest_centroid,28,Louie,true
valid_194,Louie,2,20,nearest_centroid,28,Louie,true
valid_197,Louie,2,20,nearest_centroid,28,Keri,false
valid_200,Louie,2,20,nearest_centroid,28,Keri,false
valid_205,Louie,2,20,nearest_centroid,28,Louie,true
valid_206,Louie,2,20,nearest_centroid,28,Roodie,false
valid_214,Zoe,2,20,nearest_centroid,28,Freid,false
valid_215,Zoe,2,20,nearest_centroid,28,Freid,false
valid_218,Zoe,2,20,nearest_centroid,28,Freid,false
valid_223,Zoe,2,20,nearest_centroid,28,Zoe,true
valid_227,Zoe,2,20,nearest_centroid,28,Zoe,true
valid_236,Zoe,2,20,nearest_centroid,28,Rudy,false
valid_239,Zoe,2,20,nearest_centroid,28,Louie,false
valid_247,Zoe,2,20,nearest_centroid,28,Roodie,false
valid_249,Zoe,2,20,nearest_centroid,28,Siggy,false
valid_254,Zoe,2,20,nearest_centroid,28,Roodie,false
valid_258,Zoe,2,20,nearest_centroid,28,Zoe,true
valid_264,Zoe,2,20,nearest_centroid,28,Roodie,false
valid_267,Zoe,2,20,nearest_centroid,28,Siggy,false
valid_276,Zoe,2,20,nearest_centroid,28,Zoe,true
valid_279,Zoe,2,20,nearest_centroid,28,Freid,false
valid_292,Roodie,2,20,nearest_centroid,28,Roodie,true
valid_293,Roodie,2,20,nearest_centroid,28,Siggy,false
valid_297,Roodie,2,20,nearest_centroid,28,Rudy,false
valid_303,Roodie,2,20,nearest_centroid,28,Roodie,true
valid_324,Roodie,2,20,nearest_centroid,28,Zoe,false
valid_331,Roodie,2,20,nearest_centroid,28,Zoe,false
valid_333,Roodie,2,20,nearest_centroid,28,Luke,false
valid_335,Roodie,2,20,nearest_centroid,28,Freid,false
valid_338,Roodie,2,20,nearest_centroid,28,Farley,false
valid_339,Roodie,2,20,nearest_centroid,28,Zoe,false
valid_341,Roodie,2,20,nearest_centroid,28,Rudy,false
