event_id,condition,target,prediction,correct
test_103,full_0-8k,Rudy,Rudy,true
test_115,full_0-8k,Siggy,Siggy,true
test_118,full_0-8k,Siggy,Siggy,true
test_123,full_0-8k,Siggy,Siggy,true
test_126,full_0-8k,Siggy,Siggy,true
test_129,full_0-8k,Siggy,Siggy,true
test_130,full_0-8k,Siggy,Siggy,true
test_131,full_0-8k,Siggy,Siggy,true
test_136,full_0-8k,Siggy,Siggy,true
test_141,full_0-8k,Siggy,Siggy,true
test_143,full_0-8k,Siggy,Siggy,true
test_147,full_0-8k,Siggy,Siggy,true
test_155,full_0-8k,Siggy,Siggy,true
test_16,full_0-8k,Mac,Mac,true
test_170,full_0-8k,Siggy,Siggy,true
test_172,full_0-8k,Siggy,Rudy,false
test_18,full_0-8k,Mac,Mac,true
test_181,full_0-8k,Louie,Louie,true
test_182,full_0-8k,Louie,Louie,true
test_184,full_0-8k,Louie,Louie,true
test_188,full_0-8k,Louie,Louie,true
test_19,full_0-8k,Mac,Mac,true
test_190,full_0-8k,Louie,Louie,true
test_20,full_0-8k,Mac,Mac,true
test_209,full_0-8k,Louie,Mac,false
test_210,full_0-8k,Louie,Louie,true
test_213,full_0-8k,Zoe,Zoe,true
test_216,full_0-8k,Zoe,Zoe,true
test_220,full_0-8k,Zoe,Zoe,true
test_229,full_0-8k,Zoe,Zoe,true
test_230,full_0-8k,Zoe,Zoe,true
test_237,full_0-8k,Zoe,Zoe,true
test_238,full_0-8k,Zoe,Zoe,true
test_241,full_0-8k,Zoe,Zoe,true
test_246,full_0-8k,Zoe,Zoe,true
test_248,full_0-8k,Zoe,Zoe,true
test_255,full_0-8k,Zoe,Zoe,true
test_270,full_0-8k,Zoe,Zoe,true
test_272,full_0-8k,Zoe,Zoe,true
test_275,full_0-8k,Zoe,Zoe,true
test_284,full_0-8k,Zoe,Zoe,true
test_289,full_0-8k,Roodie,Roodie,true
test_290,full_0-8k,Roodie,Roodie,true
test_299,full_0-8k,Roodie,Roodie,true
test_300,full_0-8k,Roodie,Roodie,true
test_301,full_0-8k,Roodie,Roodie,true
test_304,full_0-8k,Roodie,Roodie,true
test_307,full_0-8k,Roodie,Roodie,true
test_314,full_0-8k,Roodie,Roodie,true
test_316,full_0-8k,Roodie,Roodie,true
