event_id,target,support_k_per_class,support_k_total,method,feature_layer,prediction,correct
valid_2,Clymene_Dolphin,1,31,nearest_centroid,28,Rough-Toothed_Dolphin,false
valid_3,Clymene_Dolphin,1,31,nearest_centroid,28,Clymene_Dolphin,true
valid_4,Clymene_Dolphin,1,31,nearest_centroid,28,Clymene_Dolphin,true
valid_5,Clymene_Dolphin,1,31,nearest_centroid,28,Rough-Toothed_Dolphin,false
valid_8,Clymene_Dolphin,1,31,nearest_centroid,28,Frasers_Dolphin,false
valid_15,Clymene_Dolphin,1,31,nearest_centroid,28,White-beaked_Dolphin,false
valid_23,Clymene_Dolphin,1,31,nearest_centroid,28,Clymene_Dolphin,true
valid_28,Clymene_Dolphin,1,31,nearest_centroid,28,Clymene_Dolphin,true
valid_49,Clymene_Dolphin,1,31,nearest_centroid,28,"Grampus,_Rissos_Dolphin",false
valid_57,Clymene_Dolphin,1,31,nearest_centroid,28,White-beaked_Dolphin,false
valid_60,Clymene_Dolphin,1,31,nearest_centroid,28,"Grampus,_Rissos_Dolphin",false
valid_62,Clymene_Dolphin,1,31,nearest_centroid,28,"Grampus,_Rissos_Dolphin",false
valid_67,Bottlenose_Dolphin,1,31,nearest_centroid,28,Long-Finned_Pilot_Whale,false
valid_69,Bottlenose_Dolphin,1,31,nearest_centroid,28,Bottlenose_Dolphin,true
valid_72,Bottlenose_Dolphin,1,31,nearest_centroid,28,Bottlenose_Dolphin,true
valid_83,Bottlenose_Dolphin,1,31,nearest_centroid,28,Atlantic_Spotted_Dolphin,false
valid_85,Bottlenose_Dolphin,1,31,nearest_centroid,28,Short-Finned_Pacific_Pilot_Whale,false
valid_90,Spinner_Dolphin,1,31,nearest_centroid,28,Frasers_Dolphin,false
valid_100,Spinner_Dolphin,1,31,nearest_centroid,28,Frasers_Dolphin,false
valid_104,Spinner_Dolphin,1,31,nearest_centroid,28,Frasers_Dolphin,false
valid_116,Spinner_Dolphin,1,31,nearest_centroid,28,Frasers_Dolphin,false
valid_117,Spinner_Dolphin,1,31,nearest_centroid,28,Frasers_Dolphin,false
valid_126,Spinner_Dolphin,1,31,nearest_centroid,28,White-beaked_Dolphin,false
valid_127,Spinner_Dolphin,1,31,nearest_centroid,28,Frasers_Dolphin,false
