condition,n,accuracy,macro_f1
full_0-8k,339,0.061946902654867256,0.021954912004380104
lp_0-1000,339,0.061946902654867256,0.011965417763187644
lp_0-2000,339,0.06489675516224189,0.011772155405432146
lp_0-4000,339,0.05604719764011799,0.01794334032424515
lp_0-6000,339,0.061946902654867256,0.023818732304005795
lp_0-8000,339,0.058997050147492625,0.02099492560714768
remove_0-1000,339,0.035398230088495575,0.013738863287250385
remove_1000-2000,339,0.058997050147492625,0.013022755663491465
remove_2000-4000,339,0.06784660766961652,0.016875545543599654
remove_4000-6000,339,0.07079646017699115,0.026562307307754794
remove_6000-8000,339,0.07079646017699115,0.01905281098829486
