event_id,condition,target,prediction,correct
test_10,full_0-8k,Clymene_Dolphin,Pantropical_Spotted_Dolphin,false
test_1008,full_0-8k,Rough-Toothed_Dolphin,Rough-Toothed_Dolphin,true
test_1019,full_0-8k,Rough-Toothed_Dolphin,Rough-Toothed_Dolphin,true
test_1021,full_0-8k,Killer_Whale,Killer_Whale,true
test_1029,full_0-8k,Killer_Whale,Killer_Whale,true
test_103,full_0-8k,Spinner_Dolphin,Spinner_Dolphin,true
test_1034,full_0-8k,Killer_Whale,Humpback_Whale,false
test_1041,full_0-8k,Killer_Whale,Killer_Whale,true
test_1042,full_0-8k,Killer_Whale,Melon_Headed_Whale,false
test_1048,full_0-8k,Killer_Whale,Killer_Whale,true
test_1051,full_0-8k,Killer_Whale,Killer_Whale,true
test_1056,full_0-8k,Pantropical_Spotted_Dolphin,Pantropical_Spotted_Dolphin,true
test_1057,full_0-8k,Pantropical_Spotted_Dolphin,Spinner_Dolphin,false
test_1060,full_0-8k,Pantropical_Spotted_Dolphin,Pantropical_Spotted_Dolphin,true
test_1065,full_0-8k,Pantropical_Spotted_Dolphin,Rough-Toothed_Dolphin,false
test_1066,full_0-8k,Pantropical_Spotted_Dolphin,Pantropical_Spotted_Dolphin,true
test_1075,full_0-8k,Pantropical_Spotted_Dolphin,Sperm_Whale,false
test_108,full_0-8k,Spinner_Dolphin,Spinner_Dolphin,true
test_1088,full_0-8k,Pantropical_Spotted_Dolphin,Spinner_Dolphin,false
test_1093,full_0-8k,Pantropical_Spotted_Dolphin,Pantropical_Spotted_Dolphin,true
test_1099,full_0-8k,Pantropical_Spotted_Dolphin,Pantropical_Spotted_Dolphin,true
test_110,full_0-8k,Spinner_Dolphin,Spinner_Dolphin,true
test_1108,full_0-8k,Pantropical_Spotted_Dolphin,Spinner_Dolphin,false
test_111,full_0-8k,Spinner_Dolphin,Spinner_Dolphin,true
test_1117,full_0-8k,Pantropical_Spotted_Dolphin,Pantropical_Spotted_Dolphin,true
test_1118,full_0-8k,Pantropical_Spotted_Dolphin,Pantropical_Spotted_Dolphin,true
test_1119,full_0-8k,Pantropical_Spotted_Dolphin,Pantropical_Spotted_Dolphin,true
test_112,full_0-8k,Spinner_Dolphin,Spinner_Dolphin,true
test_1122,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1126,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_113,full_0-8k,Spinner_Dolphin,Spinner_Dolphin,true
test_1143,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1144,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1147,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_115,full_0-8k,Spinner_Dolphin,Spinner_Dolphin,true
test_1152,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1161,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1162,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1167,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1172,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Bowhead_Whale,false
test_1173,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1175,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1184,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1185,full_0-8k,Short-Finned_Pacific_Pilot_Whale,Short-Finned_Pacific_Pilot_Whale,true
test_1189,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_1194,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_1197,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_120,full_0-8k,Spinner_Dolphin,Spinner_Dolphin,true
test_1201,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_1218,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_1225,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_123,full_0-8k,Spinner_Dolphin,Spinner_Dolphin,true
test_1235,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_1238,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_124,full_0-8k,Spinner_Dolphin,Spinner_Dolphin,true
test_1245,full_0-8k,Bowhead_Whale,Bearded_Seal,false
test_1246,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_1247,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_1248,full_0-8k,Bowhead_Whale,Bowhead_Whale,true
test_1252,full_0-8k,False_Killer_Whale,False_Killer_Whale,true
test_1265,full_0-8k,False_Killer_Whale,False_Killer_Whale,true
test_1267,full_0-8k,False_Killer_Whale,False_Killer_Whale,true
test_1269,full_0-8k,False_Killer_Whale,False_Killer_Whale,true
test_1275,full_0-8k,False_Killer_Whale,Pantropical_Spotted_Dolphin,false
test_1276,full_0-8k,False_Killer_Whale,False_Killer_Whale,true
test_1277,full_0-8k,False_Killer_Whale,False_Killer_Whale,true
test_1282,full_0-8k,False_Killer_Whale,False_Killer_Whale,true
test_1283,full_0-8k,False_Killer_Whale,False_Killer_Whale,true
test_1296,full_0-8k,False_Killer_Whale,False_Killer_Whale,true
