model_id,event_id,dataset_name,instruction_text,target,raw_prediction,canonical_prediction,canonical_target,exact_match,batch_size
Qwen/Qwen2.5-Omni-7B,1b2740e9-75d1-4fcf-ba0b-3b2144657550,unseen-genus-cmn,What is the common name for the focal species in the audio?,Spotted Nightjar,The common name for the focal species is the Common Chuckwalla.,the common name for the focal species is the common chuckwalla,spotted nightjar,false,1
Qwen/Qwen2.5-Omni-7B,10429e46-a247-45e5-98a4-d489e64af8de,unseen-species-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Passeriformes Sittidae Sitta castanea,The taxonomic name of the focal species is Passerina ciris.,the taxonomic name of the focal species is passerina ciris,chordata aves passeriformes sittidae sitta castanea,false,1
Qwen/Qwen2.5-Omni-7B,9775a19a-e297-49be-a0af-7805e240158a,unseen-genus-sci,What is the scientific name for the focal species in the audio?,Aphelocephala pectoralis,The scientific name for the focal species is Passerina ciris.,the scientific name for the focal species is passerina ciris,aphelocephala pectoralis,false,1
Qwen/Qwen2.5-Omni-7B,82d44d06-c56a-46d6-b780-105bdb8340e0,unseen-species-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Passeriformes Hirundinidae Progne dominicensis,The taxonomic name of the focal species is not provided in the audio.,the taxonomic name of the focal species is not provided in the audio,chordata aves passeriformes hirundinidae progne dominicensis,false,1
Qwen/Qwen2.5-Omni-7B,0cdc2077-89cd-4b0c-a76c-4d637b5dd9e7,unseen-genus-sci,What is the scientific name for the focal species in the audio?,Cryptotympana facialis,The scientific name for the focal species is Anax junius.,the scientific name for the focal species is anax junius,cryptotympana facialis,false,1
Qwen/Qwen2.5-Omni-7B,5fa62c17-f1a2-47cf-b292-9a92d0320402,unseen-genus-cmn,What is the common name for the focal species in the audio?,Princess Stephanie's Astrapia,The common name for the focal species in the audio is the Common Myna.,the common name for the focal species in the audio is the common myna,princess stephanie s astrapia,false,1
Qwen/Qwen2.5-Omni-7B,024aa490-7ae1-4043-b6b0-71b7c9081e0d,unseen-genus-cmn,What is the common name for the focal species in the audio?,Goldenface,The common name for the focal species is the Eastern Phoebe.,the common name for the focal species is the eastern phoebe,goldenface,false,1
Qwen/Qwen2.5-Omni-7B,ac2c9444-f96d-498a-8832-697369194bb6,unseen-genus-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Apodiformes Trochilidae Lesbia victoriae,The taxonomic name of the focal species is Sitta europaea.,the taxonomic name of the focal species is sitta europaea,chordata aves apodiformes trochilidae lesbia victoriae,false,1
Qwen/Qwen2.5-Omni-7B,22955a09-1faf-4f54-8a87-a96e6229d4a8,unseen-species-sci,What is the scientific name for the focal species in the audio?,Buteo trizonatus,The scientific name for the focal species is Psittacula krameri.,the scientific name for the focal species is psittacula krameri,buteo trizonatus,false,1
Qwen/Qwen2.5-Omni-7B,b44537ee-890e-4d76-8643-6874fcc003c3,unseen-genus-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Psittaciformes Psittacidae Probosciger aterrimus,The taxonomic name of the focal species is Bubo virginianus.,the taxonomic name of the focal species is bubo virginianus,chordata aves psittaciformes psittacidae probosciger aterrimus,false,1
Qwen/Qwen2.5-Omni-7B,d177dc10-dc69-41bf-8d19-8cb79f777a41,unseen-family-tax,What is the taxonomic name of the focal species in the audio?,Chordata Mammalia Artiodactyla Suidae Hylochoerus meinertzhageni,The taxonomic name of the focal species is not provided in the audio.,the taxonomic name of the focal species is not provided in the audio,chordata mammalia artiodactyla suidae hylochoerus meinertzhageni,false,1
Qwen/Qwen2.5-Omni-7B,9d000f16-7914-4a29-89fe-9180a90fa59b,unseen-species-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Passeriformes Timaliidae Mixornis kelleyi,The taxonomic name of the focal species is Turdus philomelos.,the taxonomic name of the focal species is turdus philomelos,chordata aves passeriformes timaliidae mixornis kelleyi,false,1
Qwen/Qwen2.5-Omni-7B,2f8aeb4d-a6c3-41b2-a9ae-275db0e3aa1e,unseen-species-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Columbiformes Columbidae Treron affinis,The taxonomic name of the focal species is Turdus merula.,the taxonomic name of the focal species is turdus merula,chordata aves columbiformes columbidae treron affinis,false,1
Qwen/Qwen2.5-Omni-7B,7479189c-2f76-40d2-b615-e2f20a4f3bb8,unseen-genus-tax,What is the taxonomic name of the focal species in the audio?,Arthropoda Insecta Orthoptera Acrididae Pseudochorthippus parallelus,The taxonomic name of the focal species is S. canadensis.,the taxonomic name of the focal species is s canadensis,arthropoda insecta orthoptera acrididae pseudochorthippus parallelus,false,1
Qwen/Qwen2.5-Omni-7B,2c87aeed-a68e-4a1d-924f-157345cd986d,unseen-species-sci,What is the scientific name for the focal species in the audio?,Knipolegus cyanirostris,The scientific name for the focal species is Pycnonotus leucops.,the scientific name for the focal species is pycnonotus leucops,knipolegus cyanirostris,false,1
Qwen/Qwen2.5-Omni-7B,7293b9a5-e1b3-4204-9545-5e16e38d4e27,unseen-species-cmn,What is the common name for the focal species in the audio?,Sperm Whale,The common name for the focal species in the audio is the American Robin.,the common name for the focal species in the audio is the american robin,sperm whale,false,1
Qwen/Qwen2.5-Omni-7B,76387a4e-db62-4f7d-ae95-c1e858e9e8c7,call-type,What type of vocalization is heard from the focal species in the audio? Answer with either 'call' or 'song'.,song,song,song,song,true,1
Qwen/Qwen2.5-Omni-7B,cf9514c9-4a67-4f4e-9400-030705e77d5f,unseen-species-sci,What is the scientific name for the focal species in the audio?,Pternistis icterorhynchus,The scientific name for the focal species is Rana temporaria.,the scientific name for the focal species is rana temporaria,pternistis icterorhynchus,false,1
Qwen/Qwen2.5-Omni-7B,2c1a4bcf-5262-4d6c-a942-dcd7cd468917,unseen-genus-sci,What is the scientific name for the focal species in the audio?,Heterocercus aurantiivertex,The scientific name for the focal species is Oecanthus fultoni.,the scientific name for the focal species is oecanthus fultoni,heterocercus aurantiivertex,false,1
Qwen/Qwen2.5-Omni-7B,acc058af-f6b6-4fab-825b-baccc79a7444,unseen-family-tax,What is the taxonomic name of the focal species in the audio?,Chordata Mammalia Cetacea Phocoenidae Phocoenoides dalli,The taxonomic name of the focal species is Pteropus pselaphon.,the taxonomic name of the focal species is pteropus pselaphon,chordata mammalia cetacea phocoenidae phocoenoides dalli,false,1
Qwen/Qwen2.5-Omni-7B,4f5fcac0-2235-417c-a1b8-31378a016f6a,unseen-species-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Passeriformes Meliphagidae Philemon meyeri,The taxonomic name of the focal species is Psar 106000.,the taxonomic name of the focal species is psar 106000,chordata aves passeriformes meliphagidae philemon meyeri,false,1
Qwen/Qwen2.5-Omni-7B,caba6d95-fdef-4b8c-9487-205b4885d3e9,call-type,What type of vocalization is heard from the focal species in the audio? Answer with either 'call' or 'song'.,call,call,call,call,true,1
Qwen/Qwen2.5-Omni-7B,722a6f7d-cfaa-4aa8-8f1b-fe7623f64e3e,call-type,What type of vocalization is heard from the focal species in the audio? Answer with either 'call' or 'song'.,song,song,song,song,true,1
Qwen/Qwen2.5-Omni-7B,ae6e3fd1-4976-4138-af37-55a444b32806,unseen-genus-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Passeriformes Maluridae Stipiturus malachurus,The taxonomic name of the focal species is Psittacula krameri.,the taxonomic name of the focal species is psittacula krameri,chordata aves passeriformes maluridae stipiturus malachurus,false,1
Qwen/Qwen2.5-Omni-7B,185c974a-d905-475c-8fc0-0cbab1e383b9,watkins,What is the common name for the focal species in the audio?,Southern Right Whale,The common name for the focal species in the audio is the American redstart.,the common name for the focal species in the audio is the american redstart,southern right whale,false,1
Qwen/Qwen2.5-Omni-7B,19031313-61cc-4471-9f7f-743ca3f70909,zf-indiv,"Is there only one bird in the audio, or more? Reply with 'One' or 'More'.",One,One,one,one,true,1
Qwen/Qwen2.5-Omni-7B,d4ec96a1-aa64-4c64-a239-8a09479cfde3,unseen-genus-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Passeriformes Estrildidae Stizoptera bichenovii,The taxonomic name of the focal species is Psittacula krameri.,the taxonomic name of the focal species is psittacula krameri,chordata aves passeriformes estrildidae stizoptera bichenovii,false,1
Qwen/Qwen2.5-Omni-7B,29a5b82d-ee40-4b3d-abd7-a1fa2fbe3d08,unseen-species-cmn,What is the common name for the focal species in the audio?,Parrot-billed Sparrow,The common name for the focal species is the Common Grasshopper Sparrow.,the common name for the focal species is the common grasshopper sparrow,parrot billed sparrow,false,1
Qwen/Qwen2.5-Omni-7B,56a183a4-bd63-4739-bfd3-e01316beb602,unseen-species-cmn,What is the common name for the focal species in the audio?,Sooty Falcon,The common name for the focal species is the Common Yellowthroat.,the common name for the focal species is the common yellowthroat,sooty falcon,false,1
Qwen/Qwen2.5-Omni-7B,6aa764b5-34ef-419b-b304-426e94f50a44,unseen-species-sci,What is the scientific name for the focal species in the audio?,Falco concolor,The scientific name for the focal species is Larus michahellis.,the scientific name for the focal species is larus michahellis,falco concolor,false,1
Qwen/Qwen2.5-Omni-7B,e195f5d5-c177-47eb-b38f-4a7375320a28,unseen-species-cmn,What is the common name for the focal species in the audio?,Sooty Falcon,The common name for the focal species is the common gull.,the common name for the focal species is the common gull,sooty falcon,false,1
Qwen/Qwen2.5-Omni-7B,89658b02-c86f-4319-902c-cbd5968d77f8,unseen-genus-cmn,What is the common name for the focal species in the audio?,Wood Cricket,cricket,cricket,wood cricket,false,1
Qwen/Qwen2.5-Omni-7B,322c57a4-0384-4f3c-b31a-3a5c6413ad09,unseen-family-tax,What is the taxonomic name of the focal species in the audio?,Chordata Mammalia Cetacea Phocoenidae Phocoenoides dalli,The taxonomic name of the focal species is Sitta europaea.,the taxonomic name of the focal species is sitta europaea,chordata mammalia cetacea phocoenidae phocoenoides dalli,false,1
Qwen/Qwen2.5-Omni-7B,d5df4ad1-a24a-475f-b466-96f2d4b5813d,unseen-genus-sci,What is the scientific name for the focal species in the audio?,Lesbia victoriae,The scientific name for the focal species in the audio is Sitta europaea.,the scientific name for the focal species in the audio is sitta europaea,lesbia victoriae,false,1
Qwen/Qwen2.5-Omni-7B,16acc545-5b12-4b66-9687-f25622190548,unseen-genus-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Psittaciformes Psittacidae Probosciger aterrimus,The taxonomic name of the focal species is Turdus merula.,the taxonomic name of the focal species is turdus merula,chordata aves psittaciformes psittacidae probosciger aterrimus,false,1
Qwen/Qwen2.5-Omni-7B,380259a0-6f22-4b71-80b6-fad4d70f0ea2,unseen-species-cmn,What is the common name for the focal species in the audio?,Chestnut-collared Swallow,The common name for the focal species is house sparrow.,the common name for the focal species is house sparrow,chestnut collared swallow,false,1
Qwen/Qwen2.5-Omni-7B,303b0976-1d6f-4278-b4dc-ddfba4248f94,unseen-species-tax,What is the taxonomic name of the focal species in the audio?,Chordata Aves Passeriformes Tyrannidae Empidonomus aurantioatrocristatus,The taxonomic name of the focal species is Psittacula krameri.,the taxonomic name of the focal species is psittacula krameri,chordata aves passeriformes tyrannidae empidonomus aurantioatrocristatus,false,1
Qwen/Qwen2.5-Omni-7B,5b3094db-65ba-48d6-a7b3-130f3ae021b9,unseen-genus-cmn,What is the common name for the focal species in the audio?,Beijing Babbler,The common name for the focal species is the American Robin.,the common name for the focal species is the american robin,beijing babbler,false,1
Qwen/Qwen2.5-Omni-7B,bd8c635b-f962-48b4-a1ac-9f0776aacd6e,call-type,What type of vocalization is heard from the focal species in the audio? Answer with either 'call' or 'song'.,call,song,song,call,false,1
Qwen/Qwen2.5-Omni-7B,0221bf16-b9b0-470d-a7a6-bf5b2267b7d4,watkins,What is the common name for the focal species in the audio?,White-beaked Dolphin,The common name for the focal species in the audio is the house wren.,the common name for the focal species in the audio is the house wren,white beaked dolphin,false,1
