event_id,recording_id,target,condition,support_k,method,eta,rank,feature_layer,raw_prediction,prediction,correct
31471,2022_1_3,Tsik,lp_0-1000,1,fixed_mean,100.0,0,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,1,fixed_mean,300.0,0,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,1,fixed_mean,1000.0,0,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,1,conditional,100.0,0,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,1,conditional,300.0,0,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,1,conditional,1000.0,0,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,5,fixed_mean,100.0,4,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,5,fixed_mean,300.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,5,fixed_mean,1000.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,5,conditional,100.0,4,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,5,conditional,300.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,5,conditional,1000.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,10,fixed_mean,100.0,4,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,10,fixed_mean,300.0,4,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,10,fixed_mean,1000.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,10,conditional,100.0,4,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,10,conditional,300.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,10,conditional,1000.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,20,fixed_mean,100.0,4,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,20,fixed_mean,1000.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,20,conditional,100.0,4,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,20,conditional,1000.0,4,0,Tsik,Tsik,true
408631,2022_4_3,Phee,lp_0-1000,1,fixed_mean,100.0,0,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,1,fixed_mean,300.0,0,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,1,fixed_mean,1000.0,0,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,1,conditional,100.0,0,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,1,conditional,300.0,0,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,1,conditional,1000.0,0,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,5,fixed_mean,100.0,4,0,Twitter,Twitter,false
408631,2022_4_3,Phee,lp_0-1000,5,fixed_mean,300.0,4,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,5,fixed_mean,1000.0,4,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,5,conditional,100.0,4,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,5,conditional,300.0,4,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,5,conditional,1000.0,4,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,10,fixed_mean,100.0,4,0,Twitter,Twitter,false
408631,2022_4_3,Phee,lp_0-1000,10,fixed_mean,300.0,4,0,Twitter,Twitter,false
408631,2022_4_3,Phee,lp_0-1000,10,fixed_mean,1000.0,4,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,10,conditional,100.0,4,0,Twitter,Twitter,false
408631,2022_4_3,Phee,lp_0-1000,10,conditional,300.0,4,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,10,conditional,1000.0,4,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,20,fixed_mean,100.0,4,0,Twitter,Twitter,false
408631,2022_4_3,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
408631,2022_4_3,Phee,lp_0-1000,20,fixed_mean,1000.0,4,0,Tsik,Tsik,false
408631,2022_4_3,Phee,lp_0-1000,20,conditional,100.0,4,0,Phee,Phee,true
408631,2022_4_3,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
408631,2022_4_3,Phee,lp_0-1000,20,conditional,1000.0,4,0,Phee,Phee,true
50919,2022_1_5,Tsik,lp_0-1000,1,fixed_mean,100.0,0,0,Seep,Seep,false
