event_id,recording_id,target,condition,support_k,method,eta,rank,feature_layer,raw_prediction,prediction,correct
31471,2022_1_3,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
31471,2022_1_3,Tsik,lp_0-1000,20,fixed_mean,1000.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
31471,2022_1_3,Tsik,lp_0-1000,20,conditional,1000.0,4,0,Tsik,Tsik,true
31828,2022_1_3,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
31828,2022_1_3,Seep,lp_0-1000,20,fixed_mean,1000.0,4,0,Tsik,Tsik,false
31828,2022_1_3,Seep,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
31828,2022_1_3,Seep,lp_0-1000,20,conditional,1000.0,4,0,Tsik,Tsik,false
34756,2022_1_3,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
34756,2022_1_3,Phee,lp_0-1000,20,fixed_mean,1000.0,4,0,Twitter,Twitter,false
34756,2022_1_3,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
34756,2022_1_3,Phee,lp_0-1000,20,conditional,1000.0,4,0,Tsik,Tsik,false
36485,2022_1_3,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
36485,2022_1_3,Phee,lp_0-1000,20,fixed_mean,1000.0,4,0,Tsik,Tsik,false
36485,2022_1_3,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
36485,2022_1_3,Phee,lp_0-1000,20,conditional,1000.0,4,0,Phee,Phee,true
36522,2022_1_3,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
36522,2022_1_3,Twitter,lp_0-1000,20,fixed_mean,1000.0,4,0,Tsik,Tsik,false
36522,2022_1_3,Twitter,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
36522,2022_1_3,Twitter,lp_0-1000,20,conditional,1000.0,4,0,Tsik,Tsik,false
405841,2022_4_3,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
405841,2022_4_3,Infant Cry,lp_0-1000,20,fixed_mean,1000.0,4,0,Tsik,Tsik,false
405841,2022_4_3,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
405841,2022_4_3,Infant Cry,lp_0-1000,20,conditional,1000.0,4,0,Tsik,Tsik,false
