event_id,recording_id,target,condition,support_k,method,eta,rank,feature_layer,raw_prediction,prediction,correct
209834,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
209834,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,false
209838,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
209838,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
209846,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,true
209846,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
209851,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Seep,Seep,false
209851,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
209853,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
209853,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
209876,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
209876,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
209886,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Seep,Seep,false
209886,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
209891,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Seep,Seep,false
209891,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,false
209893,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
209893,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
209900,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,true
209900,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
209901,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,true
209901,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
209905,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
209905,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
209919,2022_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,true
209919,2022_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
211769,2019_12_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
211769,2019_12_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
211832,2019_12_0,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Seep,Seep,true
211832,2019_12_0,Seep,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
211839,2019_12_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
211839,2019_12_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
213327,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
213327,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
223069,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
223069,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
223077,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
223077,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
223107,2019_12_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
223107,2019_12_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
223123,2019_12_0,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
223123,2019_12_0,Trill,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
223144,2019_12_0,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
223144,2019_12_0,Trill,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
223149,2019_12_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
223149,2019_12_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
223154,2019_12_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
223154,2019_12_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
223184,2019_12_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
223184,2019_12_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
223196,2019_12_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
223196,2019_12_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
223198,2019_12_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
223198,2019_12_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
223206,2019_12_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
223206,2019_12_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
223208,2019_12_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
223208,2019_12_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
223247,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
223247,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
223262,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
223262,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
223263,2019_12_0,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
223263,2019_12_0,Trill,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
223298,2019_12_0,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
223298,2019_12_0,Seep,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,true
223312,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Seep,Seep,false
223312,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,false
223332,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
223332,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
223352,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
223352,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
223365,2019_12_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
223365,2019_12_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
223371,2019_12_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
223371,2019_12_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
223375,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
223375,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,false
223383,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
223383,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
223396,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Seep,Seep,false
223396,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
223400,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
223400,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
223402,2019_12_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Seep,Seep,false
223402,2019_12_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,false
233067,2022_12_0,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
233067,2022_12_0,Trill,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
248161,2022_9_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
248161,2022_9_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
248263,2022_9_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,true
248263,2022_9_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
248296,2022_9_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
248296,2022_9_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
380174,2022_9_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,true
380174,2022_9_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
423771,2022_9_0,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,true
423771,2022_9_0,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
463226,2022_4_5,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
463226,2022_4_5,Trill,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
468429,2022_4_5,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
468429,2022_4_5,Tsik,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
536094,2020_3_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
536094,2020_3_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
539125,2020_3_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,true
539125,2020_3_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
539296,2020_3_0,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
539296,2020_3_0,Seep,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
539354,2020_3_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
539354,2020_3_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
541326,2020_3_0,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
541326,2020_3_0,Seep,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,true
5555,2022_1_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
5555,2022_1_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
580149,2021_1_1,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
580149,2021_1_1,Trill,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
580352,2021_1_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
580352,2021_1_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
601927,2020_12_1,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
601927,2020_12_1,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
602268,2020_12_1,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,true
602268,2020_12_1,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
604234,2020_12_1,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
604234,2020_12_1,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
612455,2020_12_1,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
612455,2020_12_1,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
612456,2020_12_1,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
612456,2020_12_1,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,false
612715,2020_12_1,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
612715,2020_12_1,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,false
614582,2021_1_1,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
614582,2021_1_1,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
614794,2021_1_1,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
614794,2021_1_1,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
619623,2020_12_1,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
619623,2020_12_1,Seep,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
628729,2021_1_1,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
628729,2021_1_1,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
631448,2021_1_1,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
631448,2021_1_1,Trill,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
631485,2021_1_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
631485,2021_1_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
631861,2021_1_1,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
631861,2021_1_1,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
631947,2021_1_1,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
631947,2021_1_1,Tsik,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
632037,2021_1_1,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
632037,2021_1_1,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
632300,2021_1_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
632300,2021_1_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
632381,2021_1_1,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
632381,2021_1_1,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
632863,2021_1_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
632863,2021_1_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
633531,2021_1_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,true
633531,2021_1_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
638810,2023_3_1,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
638810,2023_3_1,Trill,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
639491,2023_3_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
639491,2023_3_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
639917,2023_3_1,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
639917,2023_3_1,Trill,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
651191,2023_3_1,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
651191,2023_3_1,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
651229,2023_3_1,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
651229,2023_3_1,Twitter,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
652668,2023_3_1,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
652668,2023_3_1,Seep,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,true
654915,2023_3_1,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
654915,2023_3_1,Tsik,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
655668,2023_3_1,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
655668,2023_3_1,Seep,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
655868,2023_3_1,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
655868,2023_3_1,Seep,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
6633,2022_1_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
6633,2022_1_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,false
753447,2023_3_5,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,true
753447,2023_3_5,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
766645,2023_3_5,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,true
766645,2023_3_5,Twitter,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
768310,2023_3_5,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
768310,2023_3_5,Trill,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
768697,2023_3_5,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
768697,2023_3_5,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
769197,2023_3_5,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
769197,2023_3_5,Seep,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,true
769489,2023_3_5,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
769489,2023_3_5,Seep,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,true
770417,2023_3_5,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
770417,2023_3_5,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
770853,2023_3_5,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,true
770853,2023_3_5,Tsik,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
8116,2022_1_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
8116,2022_1_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
9024,2022_1_0,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
9024,2022_1_0,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,false
