event_id,recording_id,target,condition,support_k,method,eta,rank,feature_layer,raw_prediction,prediction,correct
342684,2022_3_11,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
342684,2022_3_11,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
343808,2022_3_11,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
343808,2022_3_11,Trill,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,false
43726,2022_1_4,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
43726,2022_1_4,Twitter,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
46505,2022_1_4,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
46505,2022_1_4,Seep,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
481037,2022_4_7,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,true
481037,2022_4_7,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
518850,2022_12_4,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
518850,2022_12_4,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
521545,2020_7_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
521545,2020_7_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
533988,2020_7_0,Seep,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
533988,2020_7_0,Seep,lp_0-1000,20,conditional,300.0,4,0,Seep,Seep,true
547929,2020_7_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
547929,2020_7_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
547992,2020_7_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
547992,2020_7_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
548798,2020_7_0,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
548798,2020_7_0,Trill,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
580149,2021_1_1,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
580149,2021_1_1,Trill,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
580352,2021_1_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
580352,2021_1_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
590590,2020_7_0,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
590590,2020_7_0,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
592253,2020_7_0,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
592253,2020_7_0,Trill,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
592286,2020_7_0,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
592286,2020_7_0,Twitter,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
614582,2021_1_1,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
614582,2021_1_1,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
614794,2021_1_1,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
614794,2021_1_1,Tsik,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,true
628729,2021_1_1,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
628729,2021_1_1,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
631448,2021_1_1,Trill,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
631448,2021_1_1,Trill,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
631485,2021_1_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
631485,2021_1_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
631861,2021_1_1,Infant Cry,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
631861,2021_1_1,Infant Cry,lp_0-1000,20,conditional,300.0,4,0,Tsik,Tsik,false
631947,2021_1_1,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,true
631947,2021_1_1,Tsik,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
632037,2021_1_1,Tsik,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,false
632037,2021_1_1,Tsik,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,false
632300,2021_1_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Twitter,Twitter,false
632300,2021_1_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,false
632381,2021_1_1,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
632381,2021_1_1,Twitter,lp_0-1000,20,conditional,300.0,4,0,Twitter,Twitter,true
632863,2021_1_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
632863,2021_1_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
633531,2021_1_1,Phee,lp_0-1000,20,fixed_mean,300.0,4,0,Phee,Phee,true
633531,2021_1_1,Phee,lp_0-1000,20,conditional,300.0,4,0,Phee,Phee,true
645428,2020_2_2,Twitter,lp_0-1000,20,fixed_mean,300.0,4,0,Tsik,Tsik,false
