event_id,target,prediction,correct,spectrum
131555,Infant Cry,Phee,false,original_rate_lowpass_0-8k
162983,Infant Cry,Phee,false,original_rate_lowpass_0-8k
193131,Infant Cry,Phee,false,original_rate_lowpass_0-8k
201275,Infant Cry,Phee,false,original_rate_lowpass_0-8k
213327,Infant Cry,Phee,false,original_rate_lowpass_0-8k
221925,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223069,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223077,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223247,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223262,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223312,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223332,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223352,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223375,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223383,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223396,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223400,Infant Cry,Phee,false,original_rate_lowpass_0-8k
223402,Infant Cry,Phee,false,original_rate_lowpass_0-8k
234304,Infant Cry,Phee,false,original_rate_lowpass_0-8k
237804,Infant Cry,Phee,false,original_rate_lowpass_0-8k
238029,Infant Cry,Phee,false,original_rate_lowpass_0-8k
238142,Infant Cry,Phee,false,original_rate_lowpass_0-8k
238306,Infant Cry,Phee,false,original_rate_lowpass_0-8k
299793,Infant Cry,Phee,false,original_rate_lowpass_0-8k
315549,Infant Cry,Phee,false,original_rate_lowpass_0-8k
329778,Infant Cry,Phee,false,original_rate_lowpass_0-8k
342684,Infant Cry,Phee,false,original_rate_lowpass_0-8k
350340,Infant Cry,Phee,false,original_rate_lowpass_0-8k
352081,Infant Cry,Phee,false,original_rate_lowpass_0-8k
354197,Infant Cry,Phee,false,original_rate_lowpass_0-8k
357670,Infant Cry,Phee,false,original_rate_lowpass_0-8k
372773,Infant Cry,Phee,false,original_rate_lowpass_0-8k
401218,Infant Cry,Phee,false,original_rate_lowpass_0-8k
405841,Infant Cry,Phee,false,original_rate_lowpass_0-8k
501612,Infant Cry,Phee,false,original_rate_lowpass_0-8k
508745,Infant Cry,Phee,false,original_rate_lowpass_0-8k
508764,Infant Cry,Phee,false,original_rate_lowpass_0-8k
508780,Infant Cry,Phee,false,original_rate_lowpass_0-8k
508801,Infant Cry,Phee,false,original_rate_lowpass_0-8k
509083,Infant Cry,Phee,false,original_rate_lowpass_0-8k
509091,Infant Cry,Phee,false,original_rate_lowpass_0-8k
509092,Infant Cry,Phee,false,original_rate_lowpass_0-8k
509100,Infant Cry,Phee,false,original_rate_lowpass_0-8k
518850,Infant Cry,Phee,false,original_rate_lowpass_0-8k
524694,Infant Cry,Phee,false,original_rate_lowpass_0-8k
524878,Infant Cry,Phee,false,original_rate_lowpass_0-8k
526040,Infant Cry,Phee,false,original_rate_lowpass_0-8k
526541,Infant Cry,Phee,false,original_rate_lowpass_0-8k
526671,Infant Cry,Phee,false,original_rate_lowpass_0-8k
526711,Infant Cry,Phee,false,original_rate_lowpass_0-8k
540984,Infant Cry,Phee,false,original_rate_lowpass_0-8k
558438,Infant Cry,Phee,false,original_rate_lowpass_0-8k
558594,Infant Cry,Phee,false,original_rate_lowpass_0-8k
558633,Infant Cry,Phee,false,original_rate_lowpass_0-8k
558689,Infant Cry,Phee,false,original_rate_lowpass_0-8k
562625,Infant Cry,Phee,false,original_rate_lowpass_0-8k
565266,Infant Cry,Phee,false,original_rate_lowpass_0-8k
57995,Infant Cry,Phee,false,original_rate_lowpass_0-8k
583214,Infant Cry,Phee,false,original_rate_lowpass_0-8k
596191,Infant Cry,Phee,false,original_rate_lowpass_0-8k
