condition,n,accuracy,macro_f1
full_0-8k,546,0.2032967032967033,0.12731345702653069
lp_0-1000,546,0.17216117216117216,0.0634694525244912
lp_0-2000,546,0.14652014652014653,0.04905957816916722
lp_0-4000,546,0.1575091575091575,0.05482735142495867
lp_0-6000,546,0.152014652014652,0.0645625692727775
lp_0-8000,546,0.19963369963369965,0.12140260983293931
remove_0-1000,546,0.1336996336996337,0.07631638726091498
remove_1000-2000,546,0.21611721611721613,0.13796086548279532
remove_2000-4000,546,0.2032967032967033,0.12528540388196593
remove_4000-6000,546,0.19413919413919414,0.11380745759204493
remove_6000-8000,546,0.19047619047619047,0.10315034614638192
