condition,n,accuracy,macro_f1
full_0-8k,546,0.2948717948717949,0.21938794847249718
lp_0-1000,546,0.12637362637362637,0.06054421768707483
lp_0-2000,546,0.152014652014652,0.07435510355421368
lp_0-4000,546,0.19230769230769232,0.1255025838170697
lp_0-6000,546,0.23076923076923078,0.1739884871244284
lp_0-8000,546,0.2838827838827839,0.21096363986012914
remove_0-1000,546,0.27289377289377287,0.19924769563081324
remove_1000-2000,546,0.3021978021978022,0.21671596761182724
remove_2000-4000,546,0.3076923076923077,0.23162714907238216
remove_4000-6000,546,0.3058608058608059,0.22742314410697664
remove_6000-8000,546,0.27289377289377287,0.20417770656109954
