condition,n,accuracy,macro_f1
full_0-8k,546,0.2948717948717949,0.21938794847249718
lp_0-1000,546,0.21794871794871795,0.10901781775292836
lp_0-2000,546,0.20146520146520147,0.08796701510174236
lp_0-4000,546,0.21794871794871795,0.1253604551476892
lp_0-6000,546,0.2802197802197802,0.19470564047373684
lp_0-8000,546,0.32967032967032966,0.23789843278634878
remove_0-1000,546,0.3241758241758242,0.22195880508640312
remove_1000-2000,546,0.3241758241758242,0.2267186925191915
remove_2000-4000,546,0.3608058608058608,0.26616028989242113
remove_4000-6000,546,0.3315018315018315,0.24317500544789541
remove_6000-8000,546,0.3131868131868132,0.23131651864722988
