component,n,exact_match,correct,target_contained,contained_correct
call-type,283,0.6148409893992933,174,0.6148409893992933,174
unseen-family-cmn,117,0.0,0,0.0,0
unseen-family-sci,130,0.015384615384615385,2,0.023076923076923078,3
unseen-family-tax,123,0.0,0,0.0,0
unseen-genus-cmn,265,0.0,0,0.0,0
unseen-genus-sci,262,0.0,0,0.0,0
unseen-genus-tax,258,0.0,0,0.0,0
unseen-species-cmn,373,0.0,0,0.0,0
unseen-species-sci,364,0.0,0,0.0,0
unseen-species-tax,336,0.0,0,0.0,0
watkins,115,0.0,0,0.0,0
zf-indiv,324,0.6697530864197531,217,0.6697530864197531,217
overall,2950,0.13322033898305086,393,0.1335593220338983,394
