dataset,selection_mode,source_condition,target_condition,selected_layer,ridge_alpha,n_fit,n_test,accuracy,macro_f1
BEANS Dogs,source_selected,full_0-8k,full_0-8k,10,100.0,554,139,0.9280575539568345,0.9095401765010166
BEANS Dogs,source_selected,full_0-8k,lp_0-1000,10,100.0,554,139,0.4028776978417266,0.29997196069352267
BEANS Dogs,source_selected,full_0-8k,lp_0-2000,10,100.0,554,139,0.5971223021582733,0.6208736352214613
BEANS Dogs,source_selected,full_0-8k,lp_0-4000,10,100.0,554,139,0.8129496402877698,0.816868170507411
BEANS Dogs,source_selected,full_0-8k,lp_0-6000,10,100.0,554,139,0.920863309352518,0.9059667204072864
BEANS Dogs,source_selected,full_0-8k,lp_0-8000,10,100.0,554,139,0.9136690647482014,0.8964361227185986
BEANS Dogs,source_selected,lp_0-1000,full_0-8k,11,100.0,554,139,0.38848920863309355,0.3661864782504317
BEANS Dogs,source_selected,lp_0-1000,lp_0-1000,11,100.0,554,139,0.8776978417266187,0.8607247343497344
BEANS Dogs,source_selected,lp_0-1000,lp_0-2000,11,100.0,554,139,0.49640287769784175,0.5052955776328207
BEANS Dogs,source_selected,lp_0-1000,lp_0-4000,11,100.0,554,139,0.28776978417266186,0.23042772422419183
BEANS Dogs,source_selected,lp_0-1000,lp_0-6000,11,100.0,554,139,0.33093525179856115,0.30899365867107803
BEANS Dogs,source_selected,lp_0-1000,lp_0-8000,11,100.0,554,139,0.381294964028777,0.3722394220846233
BEANS Dogs,source_selected,lp_0-2000,full_0-8k,15,100.0,554,139,0.7050359712230215,0.6990292531082004
BEANS Dogs,source_selected,lp_0-2000,lp_0-1000,15,100.0,554,139,0.43884892086330934,0.36806228665093493
BEANS Dogs,source_selected,lp_0-2000,lp_0-2000,15,100.0,554,139,0.9136690647482014,0.8812386330107043
BEANS Dogs,source_selected,lp_0-2000,lp_0-4000,15,100.0,554,139,0.7482014388489209,0.7404706626037896
BEANS Dogs,source_selected,lp_0-2000,lp_0-6000,15,100.0,554,139,0.7122302158273381,0.7064069588582332
BEANS Dogs,source_selected,lp_0-2000,lp_0-8000,15,100.0,554,139,0.7266187050359713,0.7246906913235514
BEANS Dogs,source_selected,lp_0-4000,full_0-8k,12,100.0,554,139,0.8705035971223022,0.8456919285941883
BEANS Dogs,source_selected,lp_0-4000,lp_0-1000,12,100.0,554,139,0.34532374100719426,0.22193805058255184
BEANS Dogs,source_selected,lp_0-4000,lp_0-2000,12,100.0,554,139,0.7338129496402878,0.7449017141217512
BEANS Dogs,source_selected,lp_0-4000,lp_0-4000,12,100.0,554,139,0.9136690647482014,0.9134225635498329
BEANS Dogs,source_selected,lp_0-4000,lp_0-6000,12,100.0,554,139,0.8776978417266187,0.8766467409263778
BEANS Dogs,source_selected,lp_0-4000,lp_0-8000,12,100.0,554,139,0.8776978417266187,0.8718951167018758
BEANS Dogs,source_selected,lp_0-6000,full_0-8k,7,10.0,554,139,0.8345323741007195,0.8127998156259025
BEANS Dogs,source_selected,lp_0-6000,lp_0-1000,7,10.0,554,139,0.3381294964028777,0.20910552445784827
BEANS Dogs,source_selected,lp_0-6000,lp_0-2000,7,10.0,554,139,0.539568345323741,0.5312710437710437
BEANS Dogs,source_selected,lp_0-6000,lp_0-4000,7,10.0,554,139,0.7769784172661871,0.774938511780617
BEANS Dogs,source_selected,lp_0-6000,lp_0-6000,7,10.0,554,139,0.8920863309352518,0.8744344666748042
BEANS Dogs,source_selected,lp_0-6000,lp_0-8000,7,10.0,554,139,0.7985611510791367,0.7898878923919931
BEANS Dogs,source_selected,lp_0-8000,full_0-8k,17,100.0,554,139,0.9280575539568345,0.9209920634920635
BEANS Dogs,source_selected,lp_0-8000,lp_0-1000,17,100.0,554,139,0.37410071942446044,0.24462319693147525
BEANS Dogs,source_selected,lp_0-8000,lp_0-2000,17,100.0,554,139,0.7410071942446043,0.7327516349575174
BEANS Dogs,source_selected,lp_0-8000,lp_0-4000,17,100.0,554,139,0.8561151079136691,0.8631886323322832
BEANS Dogs,source_selected,lp_0-8000,lp_0-6000,17,100.0,554,139,0.9136690647482014,0.9101282290694055
BEANS Dogs,source_selected,lp_0-8000,lp_0-8000,17,100.0,554,139,0.9496402877697842,0.9501827046722683
BEANS Dogs,full_shared,full_0-8k,full_0-8k,10,100.0,554,139,0.9280575539568345,0.9095401765010166
BEANS Dogs,full_shared,full_0-8k,lp_0-1000,10,100.0,554,139,0.4028776978417266,0.29997196069352267
BEANS Dogs,full_shared,full_0-8k,lp_0-2000,10,100.0,554,139,0.5971223021582733,0.6208736352214613
BEANS Dogs,full_shared,full_0-8k,lp_0-4000,10,100.0,554,139,0.8129496402877698,0.816868170507411
BEANS Dogs,full_shared,full_0-8k,lp_0-6000,10,100.0,554,139,0.920863309352518,0.9059667204072864
BEANS Dogs,full_shared,full_0-8k,lp_0-8000,10,100.0,554,139,0.9136690647482014,0.8964361227185986
BEANS Dogs,full_shared,lp_0-1000,full_0-8k,10,100.0,554,139,0.302158273381295,0.3021023713128976
BEANS Dogs,full_shared,lp_0-1000,lp_0-1000,10,100.0,554,139,0.8776978417266187,0.8638428020780962
BEANS Dogs,full_shared,lp_0-1000,lp_0-2000,10,100.0,554,139,0.4460431654676259,0.4741694873604624
BEANS Dogs,full_shared,lp_0-1000,lp_0-4000,10,100.0,554,139,0.2589928057553957,0.2689885408708938
BEANS Dogs,full_shared,lp_0-1000,lp_0-6000,10,100.0,554,139,0.2949640287769784,0.3006569843764966
BEANS Dogs,full_shared,lp_0-1000,lp_0-8000,10,100.0,554,139,0.2733812949640288,0.27708175363168525
BEANS Dogs,full_shared,lp_0-2000,full_0-8k,10,100.0,554,139,0.6906474820143885,0.6977376603110956
BEANS Dogs,full_shared,lp_0-2000,lp_0-1000,10,100.0,554,139,0.4892086330935252,0.3757063593683312
BEANS Dogs,full_shared,lp_0-2000,lp_0-2000,10,100.0,554,139,0.920863309352518,0.9067049559586229
BEANS Dogs,full_shared,lp_0-2000,lp_0-4000,10,100.0,554,139,0.7769784172661871,0.7633385289542189
BEANS Dogs,full_shared,lp_0-2000,lp_0-6000,10,100.0,554,139,0.7553956834532374,0.7450913364300787
BEANS Dogs,full_shared,lp_0-2000,lp_0-8000,10,100.0,554,139,0.7266187050359713,0.7411902369883353
BEANS Dogs,full_shared,lp_0-4000,full_0-8k,10,100.0,554,139,0.8561151079136691,0.8429149606319323
BEANS Dogs,full_shared,lp_0-4000,lp_0-1000,10,100.0,554,139,0.37410071942446044,0.2553667516284338
BEANS Dogs,full_shared,lp_0-4000,lp_0-2000,10,100.0,554,139,0.7697841726618705,0.7744618937445336
BEANS Dogs,full_shared,lp_0-4000,lp_0-4000,10,100.0,554,139,0.9064748201438849,0.8939495723910424
BEANS Dogs,full_shared,lp_0-4000,lp_0-6000,10,100.0,554,139,0.8489208633093526,0.8514292562668556
BEANS Dogs,full_shared,lp_0-4000,lp_0-8000,10,100.0,554,139,0.8776978417266187,0.8770053326425868
BEANS Dogs,full_shared,lp_0-6000,full_0-8k,10,100.0,554,139,0.920863309352518,0.9041131227452708
BEANS Dogs,full_shared,lp_0-6000,lp_0-1000,10,100.0,554,139,0.39568345323741005,0.3095996248856661
BEANS Dogs,full_shared,lp_0-6000,lp_0-2000,10,100.0,554,139,0.7338129496402878,0.7296848372060378
BEANS Dogs,full_shared,lp_0-6000,lp_0-4000,10,100.0,554,139,0.920863309352518,0.9117312834224599
BEANS Dogs,full_shared,lp_0-6000,lp_0-6000,10,100.0,554,139,0.9424460431654677,0.9319208208428265
BEANS Dogs,full_shared,lp_0-6000,lp_0-8000,10,100.0,554,139,0.8920863309352518,0.8814530697005161
BEANS Dogs,full_shared,lp_0-8000,full_0-8k,10,100.0,554,139,0.935251798561151,0.9217726829287308
BEANS Dogs,full_shared,lp_0-8000,lp_0-1000,10,100.0,554,139,0.3597122302158273,0.2717599161610051
BEANS Dogs,full_shared,lp_0-8000,lp_0-2000,10,100.0,554,139,0.5827338129496403,0.6171863377745731
BEANS Dogs,full_shared,lp_0-8000,lp_0-4000,10,100.0,554,139,0.8057553956834532,0.8099891880338127
BEANS Dogs,full_shared,lp_0-8000,lp_0-6000,10,100.0,554,139,0.8848920863309353,0.8846033268379816
BEANS Dogs,full_shared,lp_0-8000,lp_0-8000,10,100.0,554,139,0.9280575539568345,0.9222598818299048
