task,dataset,condition,n,native_accuracy,probe_accuracy,probe_macro_f1,fulltrained_transfer_probe_accuracy,condition_specific_minus_fulltrained_transfer,condition_specific_minus_transfer_ci_low,condition_specific_minus_transfer_ci_high,condition_specific_minus_transfer_mcnemar_p,probe_minus_native_accuracy,probe_minus_native_ci_low,probe_minus_native_ci_high,probe_minus_native_mcnemar_p,full_minus_condition_probe_accuracy,full_minus_condition_ci_low,full_minus_condition_ci_high,full_minus_condition_mcnemar_p,protocol,comparison_role
Call type,MarmAudio,full_0-8k,546,0.2948717948717949,0.9542124542124543,0.9532308047424553,0.9542124542124543,0.0,,,,0.6593406593406594,,,,,,,,condition-specific nested recording-group OOF,supervision-unmatched upper-ceiling diagnostic
Call type,MarmAudio,lp_0-1000,546,0.12637362637362637,0.7728937728937729,0.7691204298795143,0.3498168498168498,0.42307692307692313,,,,0.6465201465201466,,,,,,,,condition-specific nested recording-group OOF,supervision-unmatched upper-ceiling diagnostic
Call type,MarmAudio,lp_0-2000,546,0.152014652014652,0.7985347985347986,0.7931536464742063,0.5457875457875457,0.25274725274725285,,,,0.6465201465201466,,,,,,,,condition-specific nested recording-group OOF,supervision-unmatched upper-ceiling diagnostic
Call type,MarmAudio,lp_0-4000,546,0.19230769230769232,0.826007326007326,0.8250592684571707,0.5952380952380952,0.23076923076923073,,,,0.6336996336996337,,,,,,,,condition-specific nested recording-group OOF,supervision-unmatched upper-ceiling diagnostic
Call type,MarmAudio,lp_0-6000,546,0.23076923076923078,0.9395604395604396,0.9374017179293631,0.8864468864468864,0.05311355311355315,,,,0.7087912087912087,,,,,,,,condition-specific nested recording-group OOF,supervision-unmatched upper-ceiling diagnostic
Call type,MarmAudio,lp_0-8000,546,0.2838827838827839,0.9487179487179487,0.9468034201842858,0.9542124542124543,-0.005494505494505586,,,,0.6648351648351648,,,,,,,,condition-specific nested recording-group OOF,supervision-unmatched upper-ceiling diagnostic
Individual,BEANS Dogs,full_0-8k,139,0.02877697841726619,0.9280575539568345,0.9095401765010166,0.9280575539568345,0.0,0.0,0.0,1.0,0.8992805755395683,0.8489208633093526,0.9424460431654677,4.70197740328915e-38,0.0,0.0,0.0,1.0,condition-specific official fixed split,supervision-unmatched upper-ceiling diagnostic
Individual,BEANS Dogs,lp_0-1000,139,0.02877697841726619,0.8776978417266187,0.8607247343497344,0.4028776978417266,0.4748201438848921,0.381294964028777,0.5611510791366906,1.2898469490022716e-16,0.8489208633093525,0.7769784172661871,0.9136690647482014,2.8226910747425425e-33,0.050359712230215826,-0.014388489208633094,0.11510791366906475,0.18924713134765625,condition-specific official fixed split,supervision-unmatched upper-ceiling diagnostic
Individual,BEANS Dogs,lp_0-2000,139,0.02877697841726619,0.9136690647482014,0.8812386330107043,0.5971223021582733,0.31654676258992803,0.2302158273381295,0.4028776978417266,1.3065282189472782e-10,0.8848920863309352,0.8201438848920863,0.9424460431654677,9.555593577834375e-35,0.014388489208633094,-0.03597122302158273,0.06474820143884892,0.7744140625,condition-specific official fixed split,supervision-unmatched upper-ceiling diagnostic
Individual,BEANS Dogs,lp_0-4000,139,0.02877697841726619,0.9136690647482014,0.9134225635498329,0.8129496402877698,0.10071942446043165,0.04316546762589928,0.15827338129496402,0.001312255859375,0.8848920863309352,0.8345323741007195,0.935251798561151,1.88079096131566e-37,0.014388489208633094,-0.02877697841726619,0.05755395683453238,0.7265625,condition-specific official fixed split,supervision-unmatched upper-ceiling diagnostic
Individual,BEANS Dogs,lp_0-6000,139,0.02877697841726619,0.8920863309352518,0.8744344666748042,0.920863309352518,-0.02877697841726619,-0.07194244604316546,0.014388489208633094,0.34375,0.8633093525179856,0.7985611510791367,0.920863309352518,7.28900537057884e-34,0.03597122302158273,-0.007194244604316547,0.08633093525179857,0.2265625,condition-specific official fixed split,supervision-unmatched upper-ceiling diagnostic
Individual,BEANS Dogs,lp_0-8000,139,0.02877697841726619,0.9496402877697842,0.9501827046722683,0.9136690647482014,0.03597122302158273,-0.014388489208633094,0.09352517985611511,0.3017578125,0.9208633093525179,0.8705035971223022,0.9640287769784173,5.877471754111438e-39,-0.02158273381294964,-0.07194244604316546,0.02158273381294964,0.548828125,condition-specific official fixed split,supervision-unmatched upper-ceiling diagnostic
Species,BEANS Watkins,full_0-8k,339,0.061946902654867256,0.8820058997050148,0.8824960111870902,0.8820058997050148,0.0,0.0,0.0,1.0,0.8200589970501475,0.775811209439528,0.8643067846607669,2.456642904562176e-79,0.0,0.0,0.0,1.0,condition-specific official fixed split,supervision-unmatched upper-ceiling diagnostic
Species,BEANS Watkins,lp_0-1000,339,0.061946902654867256,0.7404129793510325,0.759210466332681,0.09734513274336283,0.6430678466076696,0.5929203539823009,0.6932153392330384,4.7477838728798994e-66,0.6784660766961652,0.6224188790560472,0.7315634218289085,6.826565214074074e-61,0.1415929203539823,0.09734513274336283,0.18584070796460178,1.1827848105236058e-09,condition-specific official fixed split,supervision-unmatched upper-ceiling diagnostic
Species,BEANS Watkins,lp_0-2000,339,0.06489675516224189,0.7787610619469026,0.7932108668465286,0.24188790560471976,0.5368731563421829,0.4837758112094395,0.5900442477876096,3.546502978357198e-52,0.7138643067846607,0.6607669616519174,0.7640117994100295,2.48768226491218e-65,0.10324483775811209,0.06489675516224189,0.14454277286135694,6.867117736675254e-07,condition-specific official fixed split,supervision-unmatched upper-ceiling diagnostic
Species,BEANS Watkins,lp_0-4000,339,0.05604719764011799,0.8584070796460177,0.866897113878201,0.7109144542772862,0.14749262536873156,0.10619469026548672,0.19174041297935104,7.638141345540223e-11,0.8023598820058997,0.7581120943952803,0.8436578171091446,6.296821887123019e-79,0.02359882005899705,-0.0058997050147492625,0.05309734513274336,0.16863754391670227,condition-specific official fixed split,supervision-unmatched upper-ceiling diagnostic
