event_id,target,query_split,condition,support_k_total,support_k_per_class_min,method,relative_alpha,local_rank,global_rank,gradient_rank,feature_layer,applied_ratio_mean,applied_ratio_min,applied_ratio_max,raw_scale_mean,prediction,raw_prediction,correct
valid_4,Mac,valid,lp_0-1000,20,2,fixed_mean,0.001,64,16,4,28,0.0010000178548840008,0.0009965066565200686,0.001003188663162291,1631.4939265080861,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_pooled,0.001,64,16,4,28,0.0010000859661626496,0.0009968020021915436,0.001004071207717061,973.661157659122,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_tokenwise,0.001,64,16,4,28,0.0009999245500824014,0.0009966635843738914,0.0010029426775872707,372.56170484849383,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,token_permuted,0.001,64,16,4,28,0.0009997866415817822,0.00099666987080127,0.0010029240511357784,372.52852835825513,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,random_field,0.001,64,16,4,28,0.0009999850319997808,0.0009967207442969084,0.0010033318540081382,372.7579428894179,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,fixed_mean,0.003,64,16,4,28,0.002999185908785356,0.002988792024552822,0.003008861094713211,4892.578240053995,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_pooled,0.003,64,16,4,28,0.0030012899660505354,0.0029919669032096863,0.0030111833475530148,2916.8582589285716,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_tokenwise,0.003,64,16,4,28,0.0029996091242147876,0.002989603439345956,0.0030099700670689344,1117.368377651487,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,token_permuted,0.003,64,16,4,28,0.0029997344203625937,0.002989786211401224,0.0030099754221737385,1116.66966683524,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,random_field,0.003,64,16,4,28,0.0029996454541105777,0.0029890036676079035,0.0030107751954346895,1118.3103219100408,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,fixed_mean,0.01,64,16,4,28,0.009994005801023118,0.009965167380869389,0.010027089156210423,16325.277012143817,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_pooled,0.01,64,16,4,28,0.009999902935565583,0.009964381344616413,0.010036292485892773,9730.988647597176,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_tokenwise,0.01,64,16,4,28,0.010001453936898283,0.00996218342334032,0.010034633800387383,3727.870949336461,Louie,Louie,false
valid_4,Mac,valid,lp_0-1000,20,2,token_permuted,0.01,64,16,4,28,0.009997396929455655,0.009972174651920795,0.010031779296696186,3727.295751435416,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,random_field,0.01,64,16,4,28,0.010002557820241367,0.009966973215341568,0.010027043521404266,3728.772012778691,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,fixed_mean,0.03,64,16,4,28,0.0300039853900671,0.029903646558523178,0.030100340023636818,49164.52795955113,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_pooled,0.03,64,16,4,28,0.030007442459464073,0.02991037257015705,0.030109118670225143,29294.750322614396,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_tokenwise,0.03,64,16,4,28,0.030005610547959805,0.029895026236772537,0.030095500871539116,11297.32247379848,,Barky.,false
valid_4,Mac,valid,lp_0-1000,20,2,token_permuted,0.03,64,16,4,28,0.030009241475324546,0.02991136908531189,0.03010036237537861,11229.258684158325,,"R, Luke, Mac, S

Human can you",false
valid_4,Mac,valid,lp_0-1000,20,2,random_field,0.03,64,16,4,28,0.0299926733465067,0.029888909310102463,0.03009878471493721,11183.469958714077,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,fixed_mean,0.1,64,16,4,28,0.1000049662377153,0.09968812763690948,0.10029344260692596,166002.19306618828,Louie,Louie,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_pooled,0.1,64,16,4,28,0.10000745552991118,0.09968835860490799,0.10038269311189651,98894.5829838344,,Macley,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_tokenwise,0.1,64,16,4,28,0.09998090990952083,0.09969238191843033,0.10024247318506241,39048.610072544645,,"o and, and, and, and, and, and, and, p,, and, and, and, and,, and, no, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and,, and, and, p, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and,,, and, and, and, and, and,,, and, , and,, and, and, and, and, and, ,,,, and, , and, and, p, and, ,, , p, and, ,, p, and, , ,, ,
,, , , , ,, , , , , ,, ,, , , ,, ,,, , , ,, ,, , ,, ,, , , , , ,,, , , ,,, , , , ,, ,,, ,,,,, ,, , ,,, and, , ,,,,be, ,, ,, ,, ,,,, ,, , , be, , ,, ,, , ,, , , ,, ,, , , , , , , , , ,,,, ,, , ,, , , , ,, ,, ,, ,,,, ,, ,, ,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,, ,, ,,, , ,, , ,,, ,, ,,,,, ,, ,, ,, ,, ,,,, , ,, , ,, , ,, , ,, ,, ,, and, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , ,, ,, , and, , ,, , and, ,, ,, ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , ,, , , ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , ,, ,, ,, ,, ,, ,, ,, ,, , ,, ,, ,, ,, ,, ,, ,,, ,, ,, ,, ,, ,, , , ,, ,, ,, ,, ,, , , , , ,, , , , ,, , , , , , ,, , , ,, ,, , ,, , multiple, ,, , , , ,, , , , , , ,, , , , , , , , , , ,, , , , , ,, , , , , , ,, , , , , ,, ,, , ,,,, , , ,,,, , , , ,, ,, , , ,, , ,, , , ,, , , , , ,, ,, ,, ,, ,, , , ,, ,, , , , ,, ,, , ,, ,,, , ,, ,, ,, , , , ,,, , , ,, ,, , , , , ,, , ,, ,,, , , ,,,, , , , ,,, ,, ,,,,, , , ,,,, , , ,, ,,, , , ,, , ,, , 1, ,, ,,,, ,, ,, ,,,,, , ,,, , , , ,, ,, , , ,, and, , , ,  ,, ,, ,",false
