event_id,target,prediction,correct,recording_id
101138,Phee,Phee,true,2022_2_3
102022,Trill,Trill,true,2022_2_3
108998,Phee,Phee,true,2022_2_4
110359,Tsik,Tsik,true,2022_2_4
110581,Tsik,Tsik,true,2022_2_4
121321,Seep,Seep,true,2022_2_5
121474,Trill,Trill,true,2022_2_5
122742,Tsik,Tsik,true,2022_2_6
131555,Infant Cry,Infant Cry,true,2022_2_6
135177,Seep,Seep,true,2022_2_7
137886,Twitter,Twitter,true,2022_2_7
143307,Tsik,Tsik,true,2022_2_8
152770,Twitter,Twitter,true,2022_2_8
161381,Phee,Phee,true,2022_3_1
161850,Trill,Trill,true,2022_3_1
162983,Infant Cry,Infant Cry,true,2022_3_1
166603,Twitter,Tsik,false,2022_3_1
170858,Tsik,Tsik,true,2022_3_1
172015,Trill,Trill,true,2022_3_1
173793,Seep,Seep,true,2022_3_2
174653,Twitter,Twitter,true,2022_3_2
190781,Trill,Trill,true,2022_4_0
193131,Infant Cry,Infant Cry,true,2022_3_3
195490,Trill,Trill,true,2022_4_0
200722,Tsik,Tsik,true,2022_4_0
201275,Infant Cry,Infant Cry,true,2022_3_4
202978,Phee,Phee,true,2022_3_4
205050,Twitter,Twitter,true,2022_10_0
209319,Phee,Phee,true,2022_10_0
209834,Tsik,Tsik,true,2022_12_0
209838,Tsik,Tsik,true,2022_12_0
209846,Tsik,Tsik,true,2022_12_0
209851,Tsik,Tsik,true,2022_12_0
209853,Tsik,Infant Cry,false,2022_12_0
209876,Tsik,Tsik,true,2022_12_0
209886,Tsik,Tsik,true,2022_12_0
209891,Tsik,Tsik,true,2022_12_0
209893,Tsik,Tsik,true,2022_12_0
209900,Tsik,Tsik,true,2022_12_0
209901,Tsik,Tsik,true,2022_12_0
209905,Tsik,Tsik,true,2022_12_0
209919,Tsik,Tsik,true,2022_12_0
211769,Twitter,Twitter,true,2019_12_0
211832,Seep,Seep,true,2019_12_0
211839,Phee,Phee,true,2019_12_0
211974,Seep,Tsik,false,2022_3_4
212002,Seep,Seep,true,2022_3_4
212103,Seep,Seep,true,2022_3_4
212106,Seep,Seep,true,2022_3_4
212109,Seep,Seep,true,2022_3_4
212110,Seep,Seep,true,2022_3_4
212113,Seep,Seep,true,2022_3_4
212116,Seep,Seep,true,2022_3_4
212120,Seep,Seep,true,2022_3_4
212126,Seep,Seep,true,2022_3_4
212127,Seep,Seep,true,2022_3_4
212130,Seep,Seep,true,2022_3_4
