event_id,recording_id,condition,target,prediction,correct
101138,2022_2_3,full_0-8k,Phee,Phee,true
102022,2022_2_3,full_0-8k,Trill,Trill,true
108998,2022_2_4,full_0-8k,Phee,Phee,true
110359,2022_2_4,full_0-8k,Tsik,Tsik,true
110581,2022_2_4,full_0-8k,Tsik,Tsik,true
121321,2022_2_5,full_0-8k,Seep,Seep,true
121474,2022_2_5,full_0-8k,Trill,Trill,true
122742,2022_2_6,full_0-8k,Tsik,Tsik,true
131555,2022_2_6,full_0-8k,Infant Cry,Infant Cry,true
135177,2022_2_7,full_0-8k,Seep,Seep,true
137886,2022_2_7,full_0-8k,Twitter,Twitter,true
143307,2022_2_8,full_0-8k,Tsik,Tsik,true
152770,2022_2_8,full_0-8k,Twitter,Twitter,true
161381,2022_3_1,full_0-8k,Phee,Phee,true
161850,2022_3_1,full_0-8k,Trill,Trill,true
162983,2022_3_1,full_0-8k,Infant Cry,Infant Cry,true
166603,2022_3_1,full_0-8k,Twitter,Tsik,false
170858,2022_3_1,full_0-8k,Tsik,Tsik,true
172015,2022_3_1,full_0-8k,Trill,Trill,true
173793,2022_3_2,full_0-8k,Seep,Seep,true
174653,2022_3_2,full_0-8k,Twitter,Twitter,true
190781,2022_4_0,full_0-8k,Trill,Trill,true
193131,2022_3_3,full_0-8k,Infant Cry,Infant Cry,true
195490,2022_4_0,full_0-8k,Trill,Trill,true
200722,2022_4_0,full_0-8k,Tsik,Tsik,true
201275,2022_3_4,full_0-8k,Infant Cry,Infant Cry,true
202978,2022_3_4,full_0-8k,Phee,Phee,true
205050,2022_10_0,full_0-8k,Twitter,Twitter,true
209319,2022_10_0,full_0-8k,Phee,Phee,true
209834,2022_12_0,full_0-8k,Tsik,Tsik,true
209838,2022_12_0,full_0-8k,Tsik,Tsik,true
209846,2022_12_0,full_0-8k,Tsik,Tsik,true
209851,2022_12_0,full_0-8k,Tsik,Tsik,true
209853,2022_12_0,full_0-8k,Tsik,Infant Cry,false
209876,2022_12_0,full_0-8k,Tsik,Tsik,true
209886,2022_12_0,full_0-8k,Tsik,Tsik,true
209891,2022_12_0,full_0-8k,Tsik,Tsik,true
209893,2022_12_0,full_0-8k,Tsik,Tsik,true
209900,2022_12_0,full_0-8k,Tsik,Tsik,true
209901,2022_12_0,full_0-8k,Tsik,Tsik,true
209905,2022_12_0,full_0-8k,Tsik,Tsik,true
209919,2022_12_0,full_0-8k,Tsik,Tsik,true
211769,2019_12_0,full_0-8k,Twitter,Twitter,true
211832,2019_12_0,full_0-8k,Seep,Seep,true
211839,2019_12_0,full_0-8k,Phee,Phee,true
211974,2022_3_4,full_0-8k,Seep,Tsik,false
212002,2022_3_4,full_0-8k,Seep,Seep,true
212103,2022_3_4,full_0-8k,Seep,Seep,true
212106,2022_3_4,full_0-8k,Seep,Seep,true
212109,2022_3_4,full_0-8k,Seep,Seep,true
212110,2022_3_4,full_0-8k,Seep,Seep,true
212113,2022_3_4,full_0-8k,Seep,Seep,true
212116,2022_3_4,full_0-8k,Seep,Seep,true
212120,2022_3_4,full_0-8k,Seep,Seep,true
212126,2022_3_4,full_0-8k,Seep,Seep,true
212127,2022_3_4,full_0-8k,Seep,Seep,true
212130,2022_3_4,full_0-8k,Seep,Seep,true
213327,2019_12_0,full_0-8k,Infant Cry,Infant Cry,true
221515,2022_3_5,full_0-8k,Phee,Phee,true
221925,2022_3_5,full_0-8k,Infant Cry,Infant Cry,true
223069,2019_12_0,full_0-8k,Infant Cry,Infant Cry,true
223077,2019_12_0,full_0-8k,Infant Cry,Infant Cry,true
223107,2019_12_0,full_0-8k,Phee,Phee,true
223123,2019_12_0,full_0-8k,Trill,Trill,true
223144,2019_12_0,full_0-8k,Trill,Twitter,false
223149,2019_12_0,full_0-8k,Twitter,Twitter,true
223154,2019_12_0,full_0-8k,Phee,Phee,true
