event_id,target,target_output,support_k_per_class,support_k_total,method,readout,raw_prediction,candidate_scores_json,prediction,correct
valid_4,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_7,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_13,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_21,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_26,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_27,Mac,Mac,1,10,audio_icl_free,free,Louie,,Louie,false
valid_29,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_37,Mac,Mac,1,10,audio_icl_free,free,Louie,,Louie,false
valid_46,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_47,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_50,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_57,Mac,Mac,1,10,audio_icl_free,free,Louie,,Louie,false
valid_70,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_71,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_75,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_77,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_79,Mac,Mac,1,10,audio_icl_free,free,Freid,,Freid,false
valid_89,Rudy,Rudy,1,10,audio_icl_free,free,Louie,,Louie,false
valid_96,Rudy,Rudy,1,10,audio_icl_free,free,Freid,,Freid,false
valid_98,Rudy,Rudy,1,10,audio_icl_free,free,Freid,,Freid,false
